Country,Unit of Currency,Sterling value of Currency Unit £,Currency Units per £1,Sterling value of Currency Unit £,Currency Units per £1
Abu Dhabi,Dirham ,0.1976,5.059783,,
Albania,Lek ,0.007,142.095833,,
Algeria,Dinar ,0.0054,185.1375,,
Angola,Readj Kwanza ,0.0011,880.195,,
Antigua,E Caribbean Dollar ,0.2689,3.719283,,
Argentina,Peso ,0.0077,129.08,,
Armenia,Dram ,0.0014,696.846667,,
Aruba,Florin,0.4056,2.46575,,
Australia,Dollar ,0.5474,1.826717,,
Azerbaijan,New Manat ,0.4273,2.34055,,
Bahamas,Dollar,0.7259,1.377525,,
Bahrain,Dinar ,1.9255,0.519342,,
Bangladesh,Taka ,0.0085,117.01,,
Barbados,Dollar ,0.363,2.755017,,
Belarus,Rouble ,0.2865,3.489917,,
Belize,Dollar ,0.363,2.755017,,
Benin,CFA Franc ,0.0013,760.395833,,
Bermuda,Dollar (US) ,0.7259,1.377525,,
Bhutan,Ngultrum ,0.0098,101.6892,,
Bolivia,Boliviano ,0.1051,9.5186,,
Bosnia- Herzegovinia,Marka ,0.4411,2.267242,,
Botswana,Pula ,0.0659,15.165833,,
Brazil,Real ,0.1357,7.369158,,
Brunei,Dollar ,0.5409,1.848725,,
Bulgaria,Lev ,0.441,2.267458,,
Burkina Faso,CFA Franc ,0.0013,760.395833,,
Burundi,Franc ,0.0004,2715.426667,,
Cambodia,Riel ,0.0002,5605.188333,,
Cameroon Republic,CFA Franc ,0.0013,760.395833,,
Canada,Dollar,0.5796,1.725308,,
Cape Verde Islands,Escudo ,0.0078,128.2375,,
Cayman Islands,Dollar ,0.8853,1.12955,,
Central African Republic,CFA Franc ,0.0013,760.395833,,
Chad,CFA Franc ,0.0013,760.395833,,
Chile,Peso ,0.001,1033.0825,,
China,Yuan,0.1123,8.908242,,
Colombia,Peso ,0.0002,5105.273333,,
Comoros,Franc ,0.0018,570.295,,
Congo (Brazaville),CFA Franc ,0.0013,760.395833,,
Congo (DemRep),Congo Fr ,0.0004,2729.225833,,
Costa Rica,Colon ,0.0012,850.896667,,
Cote d'Ivoire,CFA Franc,0.0013,760.395833,,
