Country,Unit of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Abu Dhabi,Dirham ,0.2180,4.587583,,
Albania,Lek ,0.0071,140.518158,,
Algeria,Dinar ,0.0056,177.218483,,
Angola,Readj Kwanza ,0.0017,584.521292,,
Antigua,E Caribbean Dollar ,0.2965,3.372242,,
Argentina,Peso ,0.0064,155.678025,,
Armenia,Dram ,0.0018,554.851658,,
Aruba,Florin,0.4473,2.235675,,
Australia,Dollar ,0.5598,1.786317,,
Azerbaijan,New Manat ,0.4711,2.122550,,
Bahamas,Dollar,0.8003,1.249458,,
Bahrain,Dinar ,2.1237,0.470883,,
Bangladesh,Taka ,0.0087,114.828175,,
Barbados,Dollar ,0.4003,2.497967,,
Belarus,Rouble ,0.2782,3.595008,,
Belize,Dollar ,0.4003,2.497967,,
Benin,CFA Franc ,0.0013,772.533083,,
Bermuda,Dollar (US) ,0.8003,1.249458,,
Bhutan,Ngultrum ,0.0103,97.560208,,
Bolivia,Boliviano ,0.1159,8.630467,,
Bosnia- Herzegovinia,Marka ,0.4341,2.303408,,
Botswana,Pula ,0.0654,15.296442,,
Brazil,Real ,0.1541,6.488892,,
Brunei,Dollar ,0.5809,1.721442,,
Bulgaria,Lev ,0.4341,2.303508,,
Burkina Faso,CFA Franc ,0.0013,772.533083,,
Burundi,Franc ,0.0004,2532.150683,,
Cambodia,Riel ,0.0002,4887.786717,,
Cameroon Republic,CFA Franc ,0.0013,772.533083,,
Canada,Dollar,0.6192,1.615100,,
Cape Verde Islands,Escudo ,0.0077,129.823058,,
Cayman Islands,Dollar ,0.9764,1.024167,,
Central African Republic,CFA Franc ,0.0013,772.533083,,
Chad,CFA Franc ,0.0013,772.533083,,
Chile,Peso ,0.0009,1086.696008,,
China,Yuan,0.1199,8.342033,,
Colombia,Peso ,0.0002,5215.888425,,
Comoros,Franc ,0.0017,579.399825,,
Congo (Brazaville),CFA Franc ,0.0013,772.533083,,
Congo (DemRep),Congo Fr ,0.0004,2513.077133,,
Costa Rica,Colon ,0.0012,808.035925,,
Cote d'Ivoire,CFA Franc,0.0013,772.533083,,
Croatia,Kuna ,0.1127,8.870908,,
Cuba,Peso ,0.1245,8.029975,,
Czech Republic,Koruna ,0.0345,28.948308,,
Denmark,Krone ,0.1141,8.763033,,
Djibouti,Franc ,0.0045,222.443008,,
Dominica,E Caribbean Dollar ,0.2965,3.372242,,
