Country,Unit of Currency,Currency Code,Sterling value of Currency Unit �,Currency Units per �1
Abu Dhabi,Dirham ,AED,0.2234,4.476675
Albania,Lek ,ALL,0.0073,137.496725
Algeria,Dinar ,DZD,0.0058,172.102683
Angola,Readj Kwanza ,AOA,0.0018,556.979375
Antigua,E Caribbean Dollar ,XCD,0.3039,3.290717
Argentina,Peso ,ARS,0.0057,176.4786
Armenia,Dram ,AMD,0.0019,513.773608
Aruba,Florin,AWG,0.4584,2.181633
Australia,Dollar ,AUD,0.5682,1.759892
Azerbaijan,New Manat ,AZN,0.4827,2.071808
Bahamas,Dollar,BSD,0.8202,1.219267
Bahrain,Dinar ,BHD,2.1763,0.459492
Bangladesh,Taka ,BDT,0.0085,118.187492
Barbados,Dollar ,BBD,0.4102,2.437575
Belarus,Rouble ,BYN,0.2855,3.502592
Belize,Dollar ,BZD,0.4102,2.437575
Benin,CFA Franc ,XOF,0.0013,765.028242
Bermuda,Dollar (US) ,BMD,0.8202,1.219267
Bhutan,Ngultrum ,BTN,0.0103,97.412425
Bolivia,Boliviano ,BOB,0.1187,8.421825
Bosnia- Herzegovinia,Marka ,BAM,0.4383,2.281792
Botswana,Pula ,BWP,0.0652,15.332908
Brazil,Real ,BRL,0.1599,6.252975
Brunei,Dollar ,BND,0.5972,1.674575
Bulgaria,Lev ,BGN,0.4384,2.281125
Burkina Faso,CFA Franc ,XOF,0.0013,765.028242
Burundi,Franc ,BIF,0.0004,2489.052558
Cambodia,Riel ,KHR,0.0002,4982.176633
Cameroon Republic,CFA Franc ,XAF,0.0013,765.028242
Canada,Dollar,CAD,0.625,1.599892
Cape Verde Islands,Escudo ,CVE,0.0078,128.549225
Cayman Islands,Dollar ,KYD,1.0006,0.9994
Central African Republic,CFA Franc ,XAF,0.0013,765.028242
Chad,CFA Franc ,XAF,0.0013,765.028242
Chile,Peso ,CLP,0.0009,1064.248783
China,Yuan,CNY,0.1205,8.301708
Colombia,Peso ,COP,0.0002,5344.492408
Comoros,Franc ,KMF,0.0017,573.771192
Congo (Brazaville),CFA Franc ,XAF,0.0013,765.028242
Congo (DemRep),Congo Fr ,CDF,0.0004,2464.980317
Costa Rica,Colon ,CRC,0.0013,771.006017
Cote d'Ivoire,CFA Franc,XOF,0.0013,765.028242
Croatia,Kuna ,HRK,0.1324,7.552633
Cuba,Peso ,CUP,0.0665,15.04745
