Country/Territories,CurrencyName,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.7573,01/03/2020,31/03/2020
Albania,Lek,ALL,146.7,01/03/2020,31/03/2020
Algeria,Dinar,DZD,156.62,01/03/2020,31/03/2020
Angola,Readj Kwanza,AOA,639.75,01/03/2020,31/03/2020
Antigua,E Caribbean Dollar,XCD,3.4969,01/03/2020,31/03/2020
Argentina,Peso,ARS,79.94,01/03/2020,31/03/2020
Armenia,Dram,AMD,619.89,01/03/2020,31/03/2020
Aruba,Florin,AWG,2.3183,01/03/2020,31/03/2020
Australia,Dollar,AUD,1.9407,01/03/2020,31/03/2020
Azerbaijan,New Manat,AZN,2.1972,01/03/2020,31/03/2020
Bahamas,Dollar,BSD,1.2952,01/03/2020,31/03/2020
Bahrain,Dinar,BHD,0.4883,01/03/2020,31/03/2020
Bangladesh,Taka,BDT,110.15,01/03/2020,31/03/2020
Barbados,Dollar,BBD,2.5903,01/03/2020,31/03/2020
Belarus,Rouble,BYN,2.8555,01/03/2020,31/03/2020
Belize,Dollar,BZD,2.5903,01/03/2020,31/03/2020
Benin,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Bermuda,Dollar (US),BMD,1.2952,01/03/2020,31/03/2020
Bhutan,Ngultrum,BTN,92.67,01/03/2020,31/03/2020
Bolivia,Boliviano,BOB,8.9495,01/03/2020,31/03/2020
Bosnia- Herzegovinia,Marka,BAM,2.3471,01/03/2020,31/03/2020
Botswana,Pula,BWP,14.26,01/03/2020,31/03/2020
Brazil,Real,BRL,5.6644,01/03/2020,31/03/2020
Brunei,Dollar,BND,1.8063,01/03/2020,31/03/2020
Bulgaria,Lev,BGN,2.3472,01/03/2020,31/03/2020
Burkina Faso,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Burundi,Franc,BIF,2442.17,01/03/2020,31/03/2020
Cambodia,Riel,KHR,5284.22,01/03/2020,31/03/2020
Cameroon Republic,CFA Franc,XAF,787.18,01/03/2020,31/03/2020
Canada,Dollar,CAD,1.7143,01/03/2020,31/03/2020
Cape Verde Islands,Escudo,CVE,132.77,01/03/2020,31/03/2020
Cayman Islands,Dollar,KYD,1.062,01/03/2020,31/03/2020
Central African Republic,CFA Franc,XAF,787.18,01/03/2020,31/03/2020
Chad,CFA Franc,XAF,787.18,01/03/2020,31/03/2020
Chile,Peso,CLP,1034.95,01/03/2020,31/03/2020
China,Yuan,CNY,9.0578,01/03/2020,31/03/2020
Colombia,Peso,COP,4414.42,01/03/2020,31/03/2020
Comoros,Franc,KMF,590.38,01/03/2020,31/03/2020
Congo (Brazaville),CFA Franc,XAF,787.18,01/03/2020,31/03/2020
Congo (DemRep),Congo Fr,CDF,2194.63,01/03/2020,31/03/2020
Costa Rica,Colon,CRC,737.62,01/03/2020,31/03/2020
Cote d'Ivoire,CFA Franc,XOF,787.18,01/03/2020,31/03/2020
Croatia,Kuna,HRK,8.9387,01/03/2020,31/03/2020
Cuba,Peso,CUP,1.2952,01/03/2020,31/03/2020
Czech Republic,Koruna,CZK,29.95,01/03/2020,31/03/2020
Denmark,Krone,DKK,8.9625,01/03/2020,31/03/2020
Djibouti,Franc,DJF,230.17,01/03/2020,31/03/2020
Dominica,E Caribbean Dollar,XCD,3.4969,01/03/2020,31/03/2020
Dominican Republic,Peso,DOP,69.35,01/03/2020,31/03/2020
Dubai,Dirham,AED,4.7573,01/03/2020,31/03/2020
Ecuador,Dollar,ECS,1.2952,01/03/2020,31/03/2020
Egypt,Pound,EGP,20.2,01/03/2020,31/03/2020
El Salvador,Colon,SVC,11.33,01/03/2020,31/03/2020
Equatorial Guinea,CFA Franc,XAF,787.18,01/03/2020,31/03/2020
Eritrea,Nakfa,ERN,19.42,01/03/2020,31/03/2020
Ethiopia,Birr,ETB,41.48,01/03/2020,31/03/2020
Eurozone,Euro,EUR,1.2,01/03/2020,31/03/2020
Fiji Islands,Dollar,FJD,2.8401,01/03/2020,31/03/2020
