Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.4084,01/03/2023,31/03/2023
Albania,Lek,ALL,130.1924,01/03/2023,31/03/2023
Algeria,Dinar,DZD,164.2435,01/03/2023,31/03/2023
Angola,Readj Kwanza,AOA,613.4255,01/03/2023,31/03/2023
Antigua,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
Argentina,Peso,ARS,230.8898,01/03/2023,31/03/2023
Armenia,Dram,AMD,472.2812,01/03/2023,31/03/2023
Aruba,Florin,AWG,2.1484,01/03/2023,31/03/2023
Australia,Dollar,AUD,1.7446,01/03/2023,31/03/2023
Azerbaijan,New Manat,AZN,2.0404,01/03/2023,31/03/2023
Bahamas,Dollar,BSD,1.2002,01/03/2023,31/03/2023
Bahrain,Dinar,BHD,0.4524,01/03/2023,31/03/2023
Bangladesh,Taka,BDT,127.5219,01/03/2023,31/03/2023
Barbados,Dollar,BBD,2.4004,01/03/2023,31/03/2023
Belarus,Rouble,BYN,3.0125,01/03/2023,31/03/2023
Belize,Dollar,BZD,2.4004,01/03/2023,31/03/2023
Benin,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Bermuda,Dollar (US),BMD,1.2002,01/03/2023,31/03/2023
Bhutan,Ngultrum,BTN,99.3831,01/03/2023,31/03/2023
Bolivia,Boliviano,BOB,8.2934,01/03/2023,31/03/2023
Bosnia- Herzegovinia,Marka,BAM,2.1988,01/03/2023,31/03/2023
Botswana,Pula,BWP,15.7714,01/03/2023,31/03/2023
Brazil,Real,BRL,6.2794,01/03/2023,31/03/2023
Brunei,Dollar,BND,1.605,01/03/2023,31/03/2023
Bulgaria,Lev,BGN,2.1989,01/03/2023,31/03/2023
Burkina Faso,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Burundi,Franc,BIF,2472.4257,01/03/2023,31/03/2023
Cambodia,Riel,KHR,4903.544,01/03/2023,31/03/2023
Cameroon Republic,CFA Franc,XAF,737.4333,01/03/2023,31/03/2023
Canada,Dollar,CAD,1.6104,01/03/2023,31/03/2023
Cape Verde Islands,Escudo,CVE,124.4014,01/03/2023,31/03/2023
Cayman Islands,Dollar,KYD,0.9842,01/03/2023,31/03/2023
Central African Republic,CFA Franc,XAF,737.4333,01/03/2023,31/03/2023
Chad,CFA Franc,XAF,737.4333,01/03/2023,31/03/2023
Chile,Peso,CLP,956.4626,01/03/2023,31/03/2023
China,Yuan,CNY,8.2164,01/03/2023,31/03/2023
Colombia,Peso,COP,5891.8041,01/03/2023,31/03/2023
Comoros,Franc,KMF,553.075,01/03/2023,31/03/2023
Congo (Brazaville),CFA Franc,XAF,737.4333,01/03/2023,31/03/2023
Congo (DemRep),Congo Fr,CDF,2453.222,01/03/2023,31/03/2023
Costa Rica,Colon,CRC,681.8613,01/03/2023,31/03/2023
Cote d'Ivoire,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Croatia,Euro,EUR,1.1242,01/03/2023,31/03/2023
Cuba,Peso,CUP,28.9695,01/03/2023,31/03/2023
Czech Republic,Koruna,CZK,26.5667,01/03/2023,31/03/2023
Denmark,Krone,DKK,8.3774,01/03/2023,31/03/2023
Djibouti,Franc,DJF,214.2368,01/03/2023,31/03/2023
Dominica,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
Dominican Republic,Peso,DOP,67.5116,01/03/2023,31/03/2023
Dubai,Dirham,AED,4.4084,01/03/2023,31/03/2023
Ecuador,Dollar,ECS,1.2002,01/03/2023,31/03/2023
Egypt,Pound,EGP,36.7,01/03/2023,31/03/2023
El Salvador,Colon,SVC,10.5003,01/03/2023,31/03/2023
Equatorial Guinea,CFA Franc,XAF,737.4333,01/03/2023,31/03/2023
Eritrea,Nakfa,ERN,18.0031,01/03/2023,31/03/2023
Ethiopia,Birr,ETB,64.6651,01/03/2023,31/03/2023
Eurozone,Euro,EUR,1.1242,01/03/2023,31/03/2023
Fiji Islands,Dollar,FJD,2.6373,01/03/2023,31/03/2023
Fr. Polynesia,CFP Franc,XPF,134.1539,01/03/2023,31/03/2023
Gabon,CFA Franc,XAF,737.4333,01/03/2023,31/03/2023
Gambia,Dalasi,GMD,73.2726,01/03/2023,31/03/2023
Georgia,Lari,GEL,3.1805,01/03/2023,31/03/2023
Ghana,Cedi,GHS,14.8526,01/03/2023,31/03/2023
Grenada,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
Guatemala,Quetzal,GTQ,9.3992,01/03/2023,31/03/2023
Guinea Bissau,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Guinea Republic,Franc,GNF,10331.838,01/03/2023,31/03/2023
Guyana,Dollar,GYD,253.2205,01/03/2023,31/03/2023
Haiti,Gourde,HTG,179.2457,01/03/2023,31/03/2023
Honduras,Lempira,HNL,29.6451,01/03/2023,31/03/2023
Hong Kong,Dollar,HKD,9.4203,01/03/2023,31/03/2023
Hungary,Forint,HUF,427.7619,01/03/2023,31/03/2023
Iceland,Krona,ISK,173.0218,01/03/2023,31/03/2023
India,Rupee,INR,99.3831,01/03/2023,31/03/2023
Indonesia,Rupiah,IDR,18247.9421,01/03/2023,31/03/2023
Iraq,Dinar,IQD,1751.4891,01/03/2023,31/03/2023
Israel,Shekel,ILS,4.2363,01/03/2023,31/03/2023
Jamaica,Dollar,JMD,185.002,01/03/2023,31/03/2023
Japan,Yen,JPY,161.1817,01/03/2023,31/03/2023
Jordan,Dinar,JOD,0.852,01/03/2023,31/03/2023
Kazakhstan,Tenge,KZT,536.5523,01/03/2023,31/03/2023
Kenya,Schilling,KES,150.6259,01/03/2023,31/03/2023
Kuwait,Dinar,KWD,0.3679,01/03/2023,31/03/2023
Kyrgyz Republic,Som,KGS,104.382,01/03/2023,31/03/2023
Lao People's Dem Rep,Kip,LAK,20217.8479,01/03/2023,31/03/2023
Lebanon,Pound,LBP,18025.3256,01/03/2023,31/03/2023
Lesotho,Loti,LSL,21.6725,01/03/2023,31/03/2023
Liberia,Dollar (US),LRD,1.2002,01/03/2023,31/03/2023
Libya,Dinar,LYD,5.7506,01/03/2023,31/03/2023
Macao,Pataca,MOP,9.7029,01/03/2023,31/03/2023
Macedonia,Denar,MKD,69.1979,01/03/2023,31/03/2023
Madagascar,Malagasy Ariary,MGA,5175.2923,01/03/2023,31/03/2023
Malawi,Kwacha,MWK,1229.8755,01/03/2023,31/03/2023
Malaysia,Ringgit,MYR,5.2719,01/03/2023,31/03/2023
Maldive Islands,Rufiyaa,MVR,18.4232,01/03/2023,31/03/2023
Mali Republic,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Mauritania,Ouguiya,MRU,42.8833,01/03/2023,31/03/2023
Mauritius,Rupee,MUR,54.7894,01/03/2023,31/03/2023
Mexico,Mexican Peso,MXN,22.3881,01/03/2023,31/03/2023
Moldova,Leu,MDL,22.4421,01/03/2023,31/03/2023
Mongolia,Tugrik,MNT,4224.7267,01/03/2023,31/03/2023
Montserrat,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
Morocco,Dirham,MAD,12.3817,01/03/2023,31/03/2023
Mozambique,Metical,MZN,76.6932,01/03/2023,31/03/2023
Myanmar,Kyat,MMK,2520.1279,01/03/2023,31/03/2023
Nepal,Rupee,NPR,159.013,01/03/2023,31/03/2023
New Caledonia,CFP Franc,XPF,134.1539,01/03/2023,31/03/2023
New Zealand,Dollar,NZD,1.9153,01/03/2023,31/03/2023
Nicaragua,Gold Cordoba,NIO,43.6875,01/03/2023,31/03/2023
Niger Republic,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Nigeria,Naira,NGN,552.6951,01/03/2023,31/03/2023
Norway,Norwegian Krone,NOK,12.2727,01/03/2023,31/03/2023
Oman,Rial,OMR,0.462,01/03/2023,31/03/2023
Pakistan,Rupee,PKR,318.3548,01/03/2023,31/03/2023
Panama,Balboa,PAB,1.2002,01/03/2023,31/03/2023
Papua New Guinea,Kina,PGK,4.2314,01/03/2023,31/03/2023
Paraguay,Guarani,PYG,8752.3599,01/03/2023,31/03/2023
Peru,New Sol,PEN,4.6389,01/03/2023,31/03/2023
Philippines,Peso,PHP,66.2274,01/03/2023,31/03/2023
Poland,Zloty,PLN,5.3554,01/03/2023,31/03/2023
Qatar,Riyal,QAR,4.3709,01/03/2023,31/03/2023
Romania,New Leu,RON,5.511,01/03/2023,31/03/2023
Russia,Rouble,RUB,89.5354,01/03/2023,31/03/2023
Rwanda,Franc,RWF,1305.2245,01/03/2023,31/03/2023
Saotome & Principe,Dobra,STD,27449.6,01/03/2023,31/03/2023
Saudi Arabia,Riyal,SAR,4.5025,01/03/2023,31/03/2023
Senegal,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Serbia,Dinar,RSD,131.8907,01/03/2023,31/03/2023
Seychelles,Rupee,SCR,16.8601,01/03/2023,31/03/2023
Sierra Leone,Leone,SLE,23.9705,01/03/2023,31/03/2023
Singapore,Dollar,SGD,1.605,01/03/2023,31/03/2023
Soloman Islands,Dollar,SBD,9.8378,01/03/2023,31/03/2023
Somali Republic,Schilling,SOS,682.199,01/03/2023,31/03/2023
South Africa,Rand,ZAR,21.6952,01/03/2023,31/03/2023
South Korea,Won,KRW,1538.8448,01/03/2023,31/03/2023
Sri Lanka,Rupee,LKR,438.1354,01/03/2023,31/03/2023
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
St Lucia,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
St Vincent,E Caribbean Dollar,XCD,3.2406,01/03/2023,31/03/2023
Sudan Republic,Pound,SDG,700.9206,01/03/2023,31/03/2023
Surinam,Dollar,SRD,39.0541,01/03/2023,31/03/2023
Swaziland,Lilangeni,SZL,21.6952,01/03/2023,31/03/2023
Sweden,Krona,SEK,12.5221,01/03/2023,31/03/2023
Switzerland,Franc,CHF,1.1109,01/03/2023,31/03/2023
Taiwan,Dollar,TWD,36.3891,01/03/2023,31/03/2023
Tanzania,Schilling,TZS,2807.2831,01/03/2023,31/03/2023
Thailand,Baht,THB,41.1791,01/03/2023,31/03/2023
Togo Republic,CFA Franc,XOF,737.4333,01/03/2023,31/03/2023
Tonga Islands,Pa'anga (AUS),TOP,1.7446,01/03/2023,31/03/2023
Trinidad/Tobago,Dollar,TTD,8.1059,01/03/2023,31/03/2023
Tunisia,Dinar,TND,3.7296,01/03/2023,31/03/2023
Turkey,Turkish  Lira,TRY,22.6227,01/03/2023,31/03/2023
Turkmenistan,New Manat,TMT,4.2007,01/03/2023,31/03/2023
UAE,Dirham,AED,4.4084,01/03/2023,31/03/2023
Uganda,Schilling,UGX,4404.7585,01/03/2023,31/03/2023
Ukraine,Hryvnia,UAH,44.1016,01/03/2023,31/03/2023
Uruguay,Peso,UYU,46.8471,01/03/2023,31/03/2023
USA,Dollar,USD,1.2002,01/03/2023,31/03/2023
Uzbekistan,Sum,UZS,13645.1337,01/03/2023,31/03/2023
