Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5069,01/06/2020,30/06/2020
Albania,Lek,ALL,138.06,01/06/2020,30/06/2020
Algeria,Dinar,DZD,157.39,01/06/2020,30/06/2020
Angola,Readj Kwanza,AOA,703.74,01/06/2020,30/06/2020
Antigua,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
Argentina,Peso,ARS,83.42,01/06/2020,30/06/2020
Armenia,Dram,AMD,593.41,01/06/2020,30/06/2020
Aruba,Florin,AWG,2.1963,01/06/2020,30/06/2020
Australia,Dollar,AUD,1.8595,01/06/2020,30/06/2020
Azerbaijan,New Manat,AZN,2.0816,01/06/2020,30/06/2020
Bahamas,Dollar,BSD,1.227,01/06/2020,30/06/2020
Bahrain,Dinar,BHD,0.463,01/06/2020,30/06/2020
Bangladesh,Taka,BDT,104.13,01/06/2020,30/06/2020
Barbados,Dollar,BBD,2.454,01/06/2020,30/06/2020
Belarus,Rouble,BYN,2.9371,01/06/2020,30/06/2020
Belize,Dollar,BZD,2.454,01/06/2020,30/06/2020
Benin,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Bermuda,Dollar (US),BMD,1.227,01/06/2020,30/06/2020
Bhutan,Ngultrum,BTN,93,01/06/2020,30/06/2020
Bolivia,Boliviano,BOB,8.4785,01/06/2020,30/06/2020
Bosnia- Herzegovinia,Marka,BAM,2.1831,01/06/2020,30/06/2020
Botswana,Pula,BWP,14.71,01/06/2020,30/06/2020
Brazil,Real,BRL,6.9639,01/06/2020,30/06/2020
Brunei,Dollar,BND,1.7341,01/06/2020,30/06/2020
Bulgaria,Lev,BGN,2.1833,01/06/2020,30/06/2020
Burkina Faso,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Burundi,Franc,BIF,2346.29,01/06/2020,30/06/2020
Cambodia,Riel,KHR,5039.26,01/06/2020,30/06/2020
Cameroon Republic,CFA Franc,XAF,732.18,01/06/2020,30/06/2020
Canada,Dollar,CAD,1.7031,01/06/2020,30/06/2020
Cape Verde Islands,Escudo,CVE,124.23,01/06/2020,30/06/2020
Cayman Islands,Dollar,KYD,1.0061,01/06/2020,30/06/2020
Central African Republic,CFA Franc,XAF,732.18,01/06/2020,30/06/2020
Chad,CFA Franc,XAF,732.18,01/06/2020,30/06/2020
Chile,Peso,CLP,987.57,01/06/2020,30/06/2020
China,Yuan,CNY,8.7199,01/06/2020,30/06/2020
Colombia,Peso,COP,4663.56,01/06/2020,30/06/2020
Comoros,Franc,KMF,549.13,01/06/2020,30/06/2020
Congo (Brazaville),CFA Franc,XAF,732.18,01/06/2020,30/06/2020
Congo (DemRep),Congo Fr,CDF,2184.23,01/06/2020,30/06/2020
Costa Rica,Colon,CRC,700.34,01/06/2020,30/06/2020
Cote d'Ivoire,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Croatia,Kuna,HRK,8.4575,01/06/2020,30/06/2020
Cuba,Peso,CUP,1.227,01/06/2020,30/06/2020
Czech Republic,Koruna,CZK,30.46,01/06/2020,30/06/2020
Denmark,Krone,DKK,8.3231,01/06/2020,30/06/2020
Djibouti,Franc,DJF,218.06,01/06/2020,30/06/2020
Dominica,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
Dominican Republic,Peso,DOP,68.09,01/06/2020,30/06/2020
Dubai,Dirham,AED,4.5069,01/06/2020,30/06/2020
Ecuador,Dollar,ECS,1.227,01/06/2020,30/06/2020
Egypt,Pound,EGP,19.4,01/06/2020,30/06/2020
El Salvador,Colon,SVC,10.73,01/06/2020,30/06/2020
Equatorial Guinea,CFA Franc,XAF,732.18,01/06/2020,30/06/2020
Eritrea,Nakfa,ERN,18.4,01/06/2020,30/06/2020
Ethiopia,Birr,ETB,41.86,01/06/2020,30/06/2020
Eurozone,Euro,EUR,1.1162,01/06/2020,30/06/2020
Fiji Islands,Dollar,FJD,2.7496,01/06/2020,30/06/2020
Fr. Polynesia,CFP Franc,XPF,133.19,01/06/2020,30/06/2020
Gabon,CFA Franc,XAF,732.18,01/06/2020,30/06/2020
Gambia,Dalasi,GMD,63.52,01/06/2020,30/06/2020
Georgia,Lari,GEL,3.9362,01/06/2020,30/06/2020
Ghana,Cedi,GHS,7.0859,01/06/2020,30/06/2020
Grenada,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
Guatemala,Quetzal,GTQ,9.4423,01/06/2020,30/06/2020
Guinea Bissau,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Guinea Republic,Franc,GNF,11517.79,01/06/2020,30/06/2020
Guyana,Dollar,GYD,256.42,01/06/2020,30/06/2020
Haiti,Gourde,HTG,130.74,01/06/2020,30/06/2020
Honduras,Lempira,HNL,30.46,01/06/2020,30/06/2020
Hong Kong,Dollar,HKD,9.5094,01/06/2020,30/06/2020
Hungary,Forint,HUF,390.76,01/06/2020,30/06/2020
Iceland,Krona,ISK,174.69,01/06/2020,30/06/2020
India,Rupee,INR,93,01/06/2020,30/06/2020
Indonesia,Rupiah,IDR,18049.1,01/06/2020,30/06/2020
Iraq,Dinar,IQD,1460.12,01/06/2020,30/06/2020
Israel,Shekel,ILS,4.2971,01/06/2020,30/06/2020
Jamaica,Dollar,JMD,180.67,01/06/2020,30/06/2020
Japan,Yen,JPY,131.82,01/06/2020,30/06/2020
Jordan,Dinar,JOD,0.8699,01/06/2020,30/06/2020
Kazakhstan,Tenge,KZT,509.18,01/06/2020,30/06/2020
Kenya,Schilling,KES,131.16,01/06/2020,30/06/2020
Kuwait,Dinar,KWD,0.3788,01/06/2020,30/06/2020
Kyrgyz Republic,Som,KGS,93.42,01/06/2020,30/06/2020
Lao People's Dem Rep,Kip,LAK,11042.94,01/06/2020,30/06/2020
Lebanon,Pound,LBP,1855.21,01/06/2020,30/06/2020
Lesotho,Loti,LSL,22.01,01/06/2020,30/06/2020
Liberia,Dollar (US),LRD,1.227,01/06/2020,30/06/2020
Libya,Dinar,LYD,1.7423,01/06/2020,30/06/2020
Macao,Pataca,MOP,9.7947,01/06/2020,30/06/2020
Macedonia,Denar,MKD,68.76,01/06/2020,30/06/2020
Madagascar,Malagasy Ariary,MGA,4680.98,01/06/2020,30/06/2020
Malawi,Kwacha,MWK,905.52,01/06/2020,30/06/2020
Malaysia,Ringgit,MYR,5.3411,01/06/2020,30/06/2020
Maldive Islands,Rufiyaa,MVR,19.01,01/06/2020,30/06/2020
Mali Republic,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Mauritania,Ouguiya,MRU,46.37,01/06/2020,30/06/2020
Mauritius,Rupee,MUR,48.9,01/06/2020,30/06/2020
Mexico,Mexican Peso,MXN,28.56,01/06/2020,30/06/2020
Moldova,Leu,MDL,21.75,01/06/2020,30/06/2020
Mongolia,Tugrik,MNT,3433.74,01/06/2020,30/06/2020
Montserrat,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
Morocco,Dirham,MAD,12.01,01/06/2020,30/06/2020
Mozambique,Metical,MZN,84.45,01/06/2020,30/06/2020
Myanmar,Kyat,MMK,1724.05,01/06/2020,30/06/2020
Nepal,Rupee,NPR,148.81,01/06/2020,30/06/2020
New Caledonia,CFP Franc,XPF,133.19,01/06/2020,30/06/2020
New Zealand,Dollar,NZD,1.9959,01/06/2020,30/06/2020
Nicaragua,Gold Cordoba,NIO,41.99,01/06/2020,30/06/2020
Niger Republic,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Nigeria,Naira,NGN,474.02,01/06/2020,30/06/2020
Norway,Norwegian Krone,NOK,12.15,01/06/2020,30/06/2020
Oman,Rial,OMR,0.4725,01/06/2020,30/06/2020
Pakistan,Rupee,PKR,197.17,01/06/2020,30/06/2020
Panama,Balboa,PAB,1.227,01/06/2020,30/06/2020
Papua New Guinea,Kina,PGK,4.2309,01/06/2020,30/06/2020
Paraguay,Guarani,PYG,8100.22,01/06/2020,30/06/2020
Peru,New Sol,PEN,4.1792,01/06/2020,30/06/2020
Philippines,Peso,PHP,62.16,01/06/2020,30/06/2020
Poland,Zloty,PLN,5.0613,01/06/2020,30/06/2020
Qatar,Riyal,QAR,4.4675,01/06/2020,30/06/2020
Romania,New Leu,RON,5.4052,01/06/2020,30/06/2020
Russia,Rouble,RUB,87.4,01/06/2020,30/06/2020
Rwanda,Franc,RWF,1153.98,01/06/2020,30/06/2020
Saotome & Principe,Dobra,STD,27607,01/06/2020,30/06/2020
Saudi Arabia,Riyal,SAR,4.608,01/06/2020,30/06/2020
Senegal,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Serbia,Dinar,RSD,131.24,01/06/2020,30/06/2020
Seychelles,Rupee,SCR,22.06,01/06/2020,30/06/2020
Sierra Leone,Leone,SLL,12052.15,01/06/2020,30/06/2020
Singapore,Dollar,SGD,1.7341,01/06/2020,30/06/2020
Soloman Islands,Dollar,SBD,10.16,01/06/2020,30/06/2020
Somali Republic,Schilling,SOS,717.79,01/06/2020,30/06/2020
South Africa,Rand,ZAR,22.0178,01/06/2020,30/06/2020
South Korea,Won,KRW,1509.57,01/06/2020,30/06/2020
Sri Lanka,Rupee,LKR,229.63,01/06/2020,30/06/2020
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
St Lucia,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
St Vincent,E Caribbean Dollar,XCD,3.3129,01/06/2020,30/06/2020
Sudan Republic,Pound,SDG,67.85,01/06/2020,30/06/2020
Surinam,Dollar,SRD,9.1509,01/06/2020,30/06/2020
Swaziland,Lilangeni,SZL,22.01,01/06/2020,30/06/2020
Sweden,Krona,SEK,11.74,01/06/2020,30/06/2020
Switzerland,Franc,CHF,1.183,01/06/2020,30/06/2020
Taiwan,Dollar,TWD,36.72,01/06/2020,30/06/2020
Tanzania,Schilling,TZS,2840.49,01/06/2020,30/06/2020
Thailand,Baht,THB,39.04,01/06/2020,30/06/2020
Togo Republic,CFA Franc,XOF,732.18,01/06/2020,30/06/2020
Tonga Islands,Pa'anga (AUS),TOP,1.8595,01/06/2020,30/06/2020
Trinidad/Tobago,Dollar,TTD,8.2778,01/06/2020,30/06/2020
Tunisia,Dinar,TND,3.5282,01/06/2020,30/06/2020
Turkey,Turkish  Lira,TRY,8.3226,01/06/2020,30/06/2020
Turkmenistan,New Manat,TMT,4.3067,01/06/2020,30/06/2020
UAE,Dirham,AED,4.5069,01/06/2020,30/06/2020
Uganda,Schilling,UGX,4644.61,01/06/2020,30/06/2020
Ukraine,Hryvnia,UAH,32.79,01/06/2020,30/06/2020
Uruguay,Peso,UYU,53.55,01/06/2020,30/06/2020
USA,Dollar,USD,1.227,01/06/2020,30/06/2020
Uzbekistan,Sum,UZS,12428.92,01/06/2020,30/06/2020
Vanuatu,Vatu,VUV,148.01,01/06/2020,30/06/2020
Venezuela,Bolivar Fuerte,VEF,304175,01/06/2020,30/06/2020
Vietnam,Dong,VND,28555.27,01/06/2020,30/06/2020
Wallis & Futuna Islands,CFP Franc,XPF,133.19,01/06/2020,30/06/2020
Western Samoa,Tala,WST,3.3681,01/06/2020,30/06/2020
Yemen (Rep of),Rial,YER,307.17,01/06/2020,30/06/2020
Zambia,Kwacha,ZMW,22.3,01/06/2020,30/06/2020
Zimbabwe,Dollar,ZWL,444.04,01/06/2020,30/06/2020
