Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,5.1958,01/06/2021,30/06/2021
Albania,Lek,ALL,142.33,01/06/2021,30/06/2021
Algeria,Dinar,DZD,188.43,01/06/2021,30/06/2021
Angola,Readj Kwanza,AOA,924.96,01/06/2021,30/06/2021
Antigua,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
Argentina,Peso,ARS,133.25,01/06/2021,30/06/2021
Armenia,Dram,AMD,736.58,01/06/2021,30/06/2021
Aruba,Florin,AWG,2.532,01/06/2021,30/06/2021
Australia,Dollar,AUD,1.8263,01/06/2021,30/06/2021
Azerbaijan,New Manat,AZN,2.4033,01/06/2021,30/06/2021
Bahamas,Dollar,BSD,1.4146,01/06/2021,30/06/2021
Bahrain,Dinar,BHD,0.5333,01/06/2021,30/06/2021
Bangladesh,Taka,BDT,119.88,01/06/2021,30/06/2021
Barbados,Dollar,BBD,2.8291,01/06/2021,30/06/2021
Belarus,Rouble,BYN,3.5579,01/06/2021,30/06/2021
Belize,Dollar,BZD,2.8291,01/06/2021,30/06/2021
Benin,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Bermuda,Dollar (US),BMD,1.4146,01/06/2021,30/06/2021
Bhutan,Ngultrum,BTN,103.51,01/06/2021,30/06/2021
Bolivia,Boliviano,BOB,9.7745,01/06/2021,30/06/2021
Bosnia- Herzegovinia,Marka,BAM,2.2648,01/06/2021,30/06/2021
Botswana,Pula,BWP,15.15,01/06/2021,30/06/2021
Brazil,Real,BRL,7.488,01/06/2021,30/06/2021
Brunei,Dollar,BND,1.8847,01/06/2021,30/06/2021
Bulgaria,Lev,BGN,2.2648,01/06/2021,30/06/2021
Burkina Faso,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Burundi,Franc,BIF,2790.19,01/06/2021,30/06/2021
Cambodia,Riel,KHR,5761.45,01/06/2021,30/06/2021
Cameroon Republic,CFA Franc,XAF,759.59,01/06/2021,30/06/2021
Canada,Dollar,CAD,1.7142,01/06/2021,30/06/2021
Cape Verde Islands,Escudo,CVE,128.08,01/06/2021,30/06/2021
Cayman Islands,Dollar,KYD,1.1599,01/06/2021,30/06/2021
Central African Republic,CFA Franc,XAF,759.59,01/06/2021,30/06/2021
Chad,CFA Franc,XAF,759.59,01/06/2021,30/06/2021
Chile,Peso,CLP,1013.48,01/06/2021,30/06/2021
China,Yuan,CNY,9.1069,01/06/2021,30/06/2021
Colombia,Peso,COP,5222.49,01/06/2021,30/06/2021
Comoros,Franc,KMF,569.69,01/06/2021,30/06/2021
Congo (Brazaville),CFA Franc,XAF,759.59,01/06/2021,30/06/2021
Congo (DemRep),Congo Fr,CDF,2827.68,01/06/2021,30/06/2021
Costa Rica,Colon,CRC,871.06,01/06/2021,30/06/2021
Cote d'Ivoire,CFA Franc,XOF,759.59,01/06/2021,30/06/2021
Croatia,Kuna,HRK,8.6953,01/06/2021,30/06/2021
Cuba,Peso,CUP,1.4145,01/06/2021,30/06/2021
Czech Republic,Koruna,CZK,29.49,01/06/2021,30/06/2021
Denmark,Krone,DKK,8.6107,01/06/2021,30/06/2021
Djibouti,Franc,DJF,251.39,01/06/2021,30/06/2021
