Country/Territories,Currency,Currency Code,Currency Units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,5.131,01/07/2021,31/07/2021
Albania,Lek,ALL,143.34,01/07/2021,31/07/2021
Algeria,Dinar,DZD,186.98,01/07/2021,31/07/2021
Angola,Readj Kwanza,AOA,910.77,01/07/2021,31/07/2021
Antigua,E Caribbean Dollar,XCD,3.7716,01/07/2021,31/07/2021
Argentina,Peso,ARS,133.43,01/07/2021,31/07/2021
Armenia,Dram,AMD,715.22,01/07/2021,31/07/2021
Aruba,Florin,AWG,2.5005,01/07/2021,31/07/2021
Australia,Dollar,AUD,1.8408,01/07/2021,31/07/2021
Azerbaijan,New Manat,AZN,2.3733,01/07/2021,31/07/2021
Bahamas,Dollar,BSD,1.3969,01/07/2021,31/07/2021
Bahrain,Dinar,BHD,0.5266,01/07/2021,31/07/2021
Bangladesh,Taka,BDT,118.45,01/07/2021,31/07/2021
Barbados,Dollar,BBD,2.7938,01/07/2021,31/07/2021
Belarus,Rouble,BYN,3.5398,01/07/2021,31/07/2021
Belize,Dollar,BZD,2.7938,01/07/2021,31/07/2021
Benin,CFA Franc,XOF,766.91,01/07/2021,31/07/2021
Bermuda,Dollar (US),BMD,1.3969,01/07/2021,31/07/2021
Bhutan,Ngultrum,BTN,103.76,01/07/2021,31/07/2021
Bolivia,Boliviano,BOB,9.6526,01/07/2021,31/07/2021
Bosnia- Herzegovinia,Marka,BAM,2.2867,01/07/2021,31/07/2021
Botswana,Pula,BWP,15.16,01/07/2021,31/07/2021
Brazil,Real,BRL,6.9395,01/07/2021,31/07/2021
Brunei,Dollar,BND,1.8781,01/07/2021,31/07/2021
Bulgaria,Lev,BGN,2.2866,01/07/2021,31/07/2021
Burkina Faso,CFA Franc,XOF,766.91,01/07/2021,31/07/2021
Burundi,Franc,BIF,2765.86,01/07/2021,31/07/2021
Cambodia,Riel,KHR,5704.94,01/07/2021,31/07/2021
Cameroon Republic,CFA Franc,XAF,766.91,01/07/2021,31/07/2021
Canada,Dollar,CAD,1.716,01/07/2021,31/07/2021
Cape Verde Islands,Escudo,CVE,129.32,01/07/2021,31/07/2021
Cayman Islands,Dollar,KYD,1.1455,01/07/2021,31/07/2021
Central African Republic,CFA Franc,XAF,766.91,01/07/2021,31/07/2021
Chad,CFA Franc,XAF,766.91,01/07/2021,31/07/2021
Chile,Peso,CLP,1027.02,01/07/2021,31/07/2021
China,Yuan,CNY,9.0525,01/07/2021,31/07/2021
Colombia,Peso,COP,5275.61,01/07/2021,31/07/2021
Comoros,Franc,KMF,575.18,01/07/2021,31/07/2021
Congo (Brazaville),CFA Franc,XAF,766.91,01/07/2021,31/07/2021
Congo (DemRep),Congo Fr,CDF,2759.09,01/07/2021,31/07/2021
Costa Rica,Colon,CRC,862.79,01/07/2021,31/07/2021
Cote d'Ivoire,CFA Franc,XOF,766.91,01/07/2021,31/07/2021
Croatia,Kuna,HRK,8.7685,01/07/2021,31/07/2021
Cuba,Peso,CUP,1.3969,01/07/2021,31/07/2021
Czech Republic,Koruna,CZK,29.68,01/07/2021,31/07/2021
Denmark,Krone,DKK,8.6942,01/07/2021,31/07/2021
Djibouti,Franc,DJF,248.25,01/07/2021,31/07/2021
Dominica,E Caribbean Dollar,XCD,3.7716,01/07/2021,31/07/2021
Dominican Republic,Peso,DOP,79.65,01/07/2021,31/07/2021
Dubai,Dirham,AED,5.131,01/07/2021,31/07/2021
Ecuador,Dollar,ECS,1.3969,01/07/2021,31/07/2021
Egypt,Pound,EGP,21.87,01/07/2021,31/07/2021
El Salvador,Colon,SVC,12.22,01/07/2021,31/07/2021
Equatorial Guinea,CFA Franc,XAF,766.91,01/07/2021,31/07/2021
Eritrea,Nakfa,ERN,20.95,01/07/2021,31/07/2021
Ethiopia,Birr,ETB,60.74,01/07/2021,31/07/2021
Eurozone,Euro,EUR,1.1692,01/07/2021,31/07/2021
Fiji Islands,Dollar,FJD,2.8815,01/07/2021,31/07/2021
Fr. Polynesia,CFP Franc,XPF,139.51,01/07/2021,31/07/2021
Gabon,CFA Franc,XAF,766.91,01/07/2021,31/07/2021
Gambia,Dalasi,GMD,71.45,01/07/2021,31/07/2021
Georgia,Lari,GEL,4.3933,01/07/2021,31/07/2021
Ghana,Cedi,GHS,8.1439,01/07/2021,31/07/2021
Grenada,E Caribbean Dollar,XCD,3.7716,01/07/2021,31/07/2021
Guatemala,Quetzal,GTQ,10.81,01/07/2021,31/07/2021
Guinea Bissau,CFA Franc,XOF,766.91,01/07/2021,31/07/2021
Guinea Republic,Franc,GNF,13723.16,01/07/2021,31/07/2021
Guyana,Dollar,GYD,291.72,01/07/2021,31/07/2021
Haiti,Gourde,HTG,129,01/07/2021,31/07/2021
Honduras,Lempira,HNL,33.38,01/07/2021,31/07/2021
Hong Kong,Dollar,HKD,10.84,01/07/2021,31/07/2021
Hungary,Forint,HUF,410.34,01/07/2021,31/07/2021
Iceland,Krona,ISK,171.16,01/07/2021,31/07/2021
India,Rupee,INR,103.76,01/07/2021,31/07/2021
Indonesia,Rupiah,IDR,20160.8,01/07/2021,31/07/2021
Iraq,Dinar,IQD,2041.57,01/07/2021,31/07/2021
Israel,Shekel,ILS,4.542,01/07/2021,31/07/2021
Jamaica,Dollar,JMD,209.7,01/07/2021,31/07/2021
Japan,Yen,JPY,154.77,01/07/2021,31/07/2021
Jordan,Dinar,JOD,0.9904,01/07/2021,31/07/2021
Kazakhstan,Tenge,KZT,597.86,01/07/2021,31/07/2021
Kenya,Schilling,KES,150.51,01/07/2021,31/07/2021
Kuwait,Dinar,KWD,0.4204,01/07/2021,31/07/2021
Kyrgyz Republic,Som,KGS,118.24,01/07/2021,31/07/2021
Lao People's Dem Rep,Kip,LAK,13249.61,01/07/2021,31/07/2021
Lebanon,Pound,LBP,2119.79,01/07/2021,31/07/2021
Lesotho,Loti,LSL,19.82,01/07/2021,31/07/2021
Liberia,Dollar (US),LRD,1.3969,01/07/2021,31/07/2021
Libya,Dinar,LYD,6.2372,01/07/2021,31/07/2021
Macao,Pataca,MOP,11.17,01/07/2021,31/07/2021
