Country/Territories ,Currency,Currency Code,Currency Units per £1,Start Date,End Date 
Abu Dhabi,Dirham,AED,5.0228,01/08/2021,31/08/2021
Albania,Lek,ALL,141.93,01/08/2021,31/08/2021
Algeria,Dinar,DZD,184.04,01/08/2021,31/08/2021
Angola,Readj Kwanza,AOA,885.42,01/08/2021,31/08/2021
Antigua,E Caribbean Dollar,XCD,3.6921,01/08/2021,31/08/2021
Argentina,Peso,ARS,131.77,01/08/2021,31/08/2021
Armenia,Dram,AMD,666.72,01/08/2021,31/08/2021
Aruba,Florin,AWG,2.4477,01/08/2021,31/08/2021
Australia,Dollar,AUD,1.8626,01/08/2021,31/08/2021
Azerbaijan,New Manat,AZN,2.3233,01/08/2021,31/08/2021
Bahamas,Dollar,BSD,1.3674,01/08/2021,31/08/2021
Bahrain,Dinar,BHD,0.5155,01/08/2021,31/08/2021
Bangladesh,Taka,BDT,115.89,01/08/2021,31/08/2021
Barbados,Dollar,BBD,2.7349,01/08/2021,31/08/2021
Belarus,Rouble,BYN,3.4605,01/08/2021,31/08/2021
Belize,Dollar,BZD,2.7349,01/08/2021,31/08/2021
Benin,CFA Franc,XOF,760.89,01/08/2021,31/08/2021
Bermuda,Dollar (US),BMD,1.3674,01/08/2021,31/08/2021
Bhutan,Ngultrum,BTN,102.03,01/08/2021,31/08/2021
Bolivia,Boliviano,BOB,9.4491,01/08/2021,31/08/2021
Bosnia- Herzegovinia,Marka,BAM,2.2687,01/08/2021,31/08/2021
Botswana,Pula,BWP,15.17,01/08/2021,31/08/2021
Brazil,Real,BRL,7.1873,01/08/2021,31/08/2021
Brunei,Dollar,BND,1.8666,01/08/2021,31/08/2021
Bulgaria,Lev,BGN,2.2689,01/08/2021,31/08/2021
Burkina Faso,CFA Franc,XOF,760.89,01/08/2021,31/08/2021
Burundi,Franc,BIF,2711.64,01/08/2021,31/08/2021
Cambodia,Riel,KHR,5576.44,01/08/2021,31/08/2021
Cameroon Republic,CFA Franc,XAF,760.89,01/08/2021,31/08/2021
Canada,Dollar,CAD,1.7207,01/08/2021,31/08/2021
Cape Verde Islands,Escudo,CVE,128.19,01/08/2021,31/08/2021
Cayman Islands,Dollar,KYD,1.1213,01/08/2021,31/08/2021
Central African Republic,CFA Franc,XAF,760.89,01/08/2021,31/08/2021
Chad,CFA Franc,XAF,760.89,01/08/2021,31/08/2021
Chile,Peso,CLP,1032.58,01/08/2021,31/08/2021
China,Yuan,CNY,8.8535,01/08/2021,31/08/2021
Colombia,Peso,COP,5277.32,01/08/2021,31/08/2021
Comoros,Franc,KMF,570.67,01/08/2021,31/08/2021
Congo (Brazaville),CFA Franc,XAF,760.89,01/08/2021,31/08/2021
Congo (DemRep),Congo Fr,CDF,2737.62,01/08/2021,31/08/2021
