Country/Territories,Currency,CurrencyCode,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.4317,01/12/2022,31/12/2022
Albania,Lek,ALL,135.9238,01/12/2022,31/12/2022
Algeria,Dinar,DZD,167.285,01/12/2022,31/12/2022
Angola,Readj Kwanza,AOA,618.7788,01/12/2022,31/12/2022
Antigua,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
Argentina,Peso,ARS,198.887,01/12/2022,31/12/2022
Armenia,Dram,AMD,477.2735,01/12/2022,31/12/2022
Aruba,Florin,AWG,2.1597,01/12/2022,31/12/2022
Australia,Dollar,AUD,1.7951,01/12/2022,31/12/2022
Azerbaijan,New Manat,AZN,2.0508,01/12/2022,31/12/2022
Bahamas,Dollar,BSD,1.2065,01/12/2022,31/12/2022
Bahrain,Dinar,BHD,0.4548,01/12/2022,31/12/2022
Bangladesh,Taka,BDT,124.5159,01/12/2022,31/12/2022
Barbados,Dollar,BBD,2.4131,01/12/2022,31/12/2022
Belarus,Rouble,BYN,3.0465,01/12/2022,31/12/2022
Belize,Dollar,BZD,2.4131,01/12/2022,31/12/2022
Benin,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Bermuda,Dollar (US),BMD,1.2065,01/12/2022,31/12/2022
Bhutan,Ngultrum,BTN,98.7621,01/12/2022,31/12/2022
Bolivia,Boliviano,BOB,8.3373,01/12/2022,31/12/2022
Bosnia- Herzegovinia,Marka,BAM,2.2746,01/12/2022,31/12/2022
Botswana,Pula,BWP,15.5183,01/12/2022,31/12/2022
Brazil,Real,BRL,6.4988,01/12/2022,31/12/2022
Brunei,Dollar,BND,1.6629,01/12/2022,31/12/2022
Bulgaria,Lev,BGN,2.2746,01/12/2022,31/12/2022
Burkina Faso,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Burundi,Franc,BIF,2496.7748,01/12/2022,31/12/2022
Cambodia,Riel,KHR,4991.093,01/12/2022,31/12/2022
Cameroon Republic,CFA Franc,XAF,762.8747,01/12/2022,31/12/2022
Canada,Dollar,CAD,1.6144,01/12/2022,31/12/2022
Cape Verde Islands,Escudo,CVE,128.9361,01/12/2022,31/12/2022
Cayman Islands,Dollar,KYD,0.9894,01/12/2022,31/12/2022
Central African Republic,CFA Franc,XAF,762.8747,01/12/2022,31/12/2022
Chad,CFA Franc,XAF,762.8747,01/12/2022,31/12/2022
Chile,Peso,CLP,1106.8279,01/12/2022,31/12/2022
China,Yuan,CNY,8.6323,01/12/2022,31/12/2022
Colombia,Peso,COP,5885.5381,01/12/2022,31/12/2022
Comoros,Franc,KMF,572.1561,01/12/2022,31/12/2022
Congo (Brazaville),CFA Franc,XAF,762.8747,01/12/2022,31/12/2022
Congo (DemRep),Congo Fr,CDF,2455.5086,01/12/2022,31/12/2022
Costa Rica,Colon,CRC,733.0812,01/12/2022,31/12/2022
Cote d'Ivoire,CFA Franc,XOF,762.8747,01/12/2022,31/12/2022
Croatia,Kuna,HRK,8.7719,01/12/2022,31/12/2022
Cuba,Peso,CUP,28.76,01/12/2022,31/12/2022
Czech Republic,Koruna,CZK,28.3271,01/12/2022,31/12/2022
Denmark,Krone,DKK,8.6488,01/12/2022,31/12/2022
Djibouti,Franc,DJF,214.8292,01/12/2022,31/12/2022
Dominica,E Caribbean Dollar,XCD,3.2577,01/12/2022,31/12/2022
Dominican Republic,Peso,DOP,65.5518,01/12/2022,31/12/2022
Dubai,Dirham,AED,4.4317,01/12/2022,31/12/2022
Ecuador,Dollar,ECS,1.2065,01/12/2022,31/12/2022
Egypt,Pound,EGP,29.6244,01/12/2022,31/12/2022
