"heading_id","description","title","id","fqcc","goods_nomenclature_sid"
"0701","Potatoes, fresh or chilled","Edible fruit, vegetables and nuts",24,"0701000000",30241
"0702","Tomatoes, fresh or chilled","Edible fruit, vegetables and nuts",24,"0702000000",30256
"0703","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","Edible fruit, vegetables and nuts",24,"0703000000",30292
"0704","Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled","Edible fruit, vegetables and nuts",24,"0704000000",30319
"0705","Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled","Edible fruit, vegetables and nuts",24,"0705000000",30343
"0706","Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled","Edible fruit, vegetables and nuts",24,"0706000000",30380
"0707","Cucumbers and gherkins, fresh or chilled","Edible fruit, vegetables and nuts",24,"0707000000",30411
"0708","Leguminous vegetables, shelled or unshelled, fresh or chilled","Edible fruit, vegetables and nuts",24,"0708000000",30423
"0709","Other vegetables, fresh or chilled","Edible fruit, vegetables and nuts",24,"0709000000",30463
"0710","Vegetables (uncooked or cooked by steaming or boiling in water), frozen","Edible fruit, vegetables and nuts",24,"0710000000",30588
"0711","Vegetables provisionally preserved, but unsuitable in that state for immediate consumption","Edible fruit, vegetables and nuts",24,"0711000000",30626
"0712","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared","Edible fruit, vegetables and nuts",24,"0712000000",30682
"0713","Dried leguminous vegetables, shelled, whether or not skinned or split","Edible fruit, vegetables and nuts",24,"0713000000",30726
"0714","Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Edible fruit, vegetables and nuts",24,"0714000000",30772
"0801","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","Edible fruit, vegetables and nuts",24,"0801000000",30809
"0802","Other nuts, fresh or dried, whether or not shelled or peeled","Edible fruit, vegetables and nuts",24,"0802000000",30815
"0803","Bananas, including plantains, fresh or dried","Edible fruit, vegetables and nuts",24,"0803000000",30845
"0804","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried","Edible fruit, vegetables and nuts",24,"0804000000",30853
"0805","Citrus fruit, fresh or dried","Edible fruit, vegetables and nuts",24,"0805000000",30893
"0806","Grapes, fresh or dried","Edible fruit, vegetables and nuts",24,"0806000000",31162
"0807","Melons (including watermelons) and papaws (papayas), fresh","Edible fruit, vegetables and nuts",24,"0807000000",31215
"0808","Apples, pears and quinces, fresh","Edible fruit, vegetables and nuts",24,"0808000000",31254
"0809","Apricots, cherries, peaches (including nectarines), plums and sloes, fresh","Edible fruit, vegetables and nuts",24,"0809000000",31301
"0810","Other fruit, fresh","Edible fruit, vegetables and nuts",24,"0810000000",31412
"0811","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Edible fruit, vegetables and nuts",24,"0811000000",31524
"0812","Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Edible fruit, vegetables and nuts",24,"0812000000",31644
"0813","Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter","Edible fruit, vegetables and nuts",24,"0813000000",31666
"0814","Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions","Edible fruit, vegetables and nuts",24,"0814000000",31698
"1006",Rice,Rice,17,"1006000000",31827
"2106",Food preparations not elsewhere specified or included,Pharmaceutical products and placebos,26,"2106000000",34567
"2106",Food preparations not elsewhere specified or included,"Herbal medicines, supplements and tonics",9,"2106000000",34567
"2202","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 2009","Herbal medicines, supplements and tonics",9,"2202000000",34638
"2205",Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances,"Herbal medicines, supplements and tonics",9,"2205000000",34941
"2206","Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included","Herbal medicines, supplements and tonics",9,"2206000000",34948
"2208","Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol; spirits, liqueurs and other spirituous beverages","Herbal medicines, supplements and tonics",9,"2208000000",34981
"2401",Unmanufactured tobacco; tobacco refuse,Tobacco,19,"2401000000",35247
"2402","Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes",Tobacco,19,"2402000000",35283
"2403",Other manufactured tobacco and manufactured tobacco substitutes; 'homogenised' or 'reconstituted' tobacco; tobacco extracts and essences,Tobacco,19,"2403000000",35287
"2404","Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",Tobacco,19,"2404000000",106659
"2530",Mineral substances not elsewhere specified or included,Ceramics,3,"2530000000",35443
"2901",Acyclic hydrocarbons,Organic chemicals,13,"2901000000",36170
"2902",Cyclic hydrocarbons,Organic chemicals,13,"2902000000",36186
"2903",Halogenated derivatives of hydrocarbons,Organic chemicals,13,"2903000000",36225
"2904","Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated",Organic chemicals,13,"2904000000",36312
"2905","Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2905000000",36339
"2906","Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2906000000",36399
"2907",Phenols; phenol-alcohols,Organic chemicals,13,"2907000000",36416
"2908","Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",Organic chemicals,13,"2908000000",36452
"2909","Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2909000000",36465
"2910","Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2910000000",36508
"2911","Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2911000000",36518
"2912","Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde",Organic chemicals,13,"2912000000",36520
"2913","Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 2912",Organic chemicals,13,"2913000000",36538
"2914","Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2914000000",36540
"2915","Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2915000000",36587
"2916","Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2916000000",36644
"2917","Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2917000000",36694
"2918","Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2918000000",36744
"2919","Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2919000000",36797
"2920","Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",Organic chemicals,13,"2920000000",36808
"2921",Amine-function compounds,Organic chemicals,13,"2921000000",36826
"2922",Oxygen-function amino-compounds,Organic chemicals,13,"2922000000",36896
"2923","Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined",Organic chemicals,13,"2923000000",36961
"2924",Carboxyamide-function compounds; amide-function compounds of carbonic acid,Organic chemicals,13,"2924000000",36969
"2925",Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds,Organic chemicals,13,"2925000000",36995
"2926",Nitrile-function compounds,Organic chemicals,13,"2926000000",37012
"2927","Diazo-, azo- or azoxy-compounds",Organic chemicals,13,"2927000000",37029
"2928",Organic derivatives of hydrazine or of hydroxylamine,Organic chemicals,13,"2928000000",37033
"2929",Compounds with other nitrogen function,Organic chemicals,13,"2929000000",37042
"2930",Organo-sulphur compounds,Organic chemicals,13,"2930000000",37063
"2931",Other organo-inorganic compounds,Organic chemicals,13,"2931000000",37096
