preference_code 	description
100 	Normal third country tariff duty (including ceilings). This code stands for all cases where no preference is claimed and the normal third country rate is applied.
110 	Tariff suspension. Temporary suspensions from the autonomous customs duties are granted for certain goods of the agricultural, chemical, aeronautical and microelectronic sector. Others are shown as footnotes to certain Combined Nomenclature (CN) codes.
115 	Tariff suspension subject to a specific end-use. Certain suspensions are linked to a specific destination, a so-called end-use pursuant to Article 82 of the Common Customs Code. Commodities are identified by the symbol ‘S’ in Volume 2 of the Tariff and the footnote ‘subject to end use’.
118 	Tariff suspension subject to the production of a special certificate. No case has been found at present, such a possibility could however be created e.g. for goods to be denatured before being imported under a suspension.
119 	Tariff suspension subject to Authorised Release Certificate formerly known as Airworthiness Certificates. Suspension of duty (not including VAT) for importations of civil aircraft parts which must be accompanied by an Authorised Release Certificate formerly known as airworthiness certificate. A document code ‘C119’ must be entered in D.E. 2/3 and endorsed ‘Import with Authorised Release Certificate’ formerly known as Airworthiness Certificate.
120 	Tariff quota, notably General Agreement on Tariffs and Trade (GATT) quota. GATT quotas are shown as footnotes to the CN. Examples can be found in Chapter 3 and for codes 0802, 0805 and 0806.
123 	Tariff quota, notably GATT quota, subject to a specific end-use. Examples of GATT quotas under the condition of an end-use can be found in footnotes to codes 0102 90 (a quota with a serial number) and 0302 31 to 39 (a global quota without a serial number).
125 	Tariff quota, notably GATT quota, subject to the production of a special certificate. GATT quotas exist for handicraft products and those produced on handlooms. The preferential quota is only applied on the production of the relevant certificate, which must be entered in D.E. 2/3 against the relevant document code as shown in Appendix 5: D.E. 2/3: Documents and Other Reference Codes. Other cases could be created, for example for goods to be denatured before being admitted to a quota.
128 	Tariff quota following outward processing. No case has been found where the re-importation of textiles in the framework of an economic outward processing quota is admitted. Such a possibility could however be created.
140 	Exemption for end-use resulting from the Community Customs Tariff (CCT). All cases of end-use are marked by one of the following footnotes to the relevant CN code: ‘Entry under this subheading is subject to conditions laid down in the relevant EU provisions’
150 	Admission to certain CN subheadings subject to a certificate confirming the special nature of the goods. The relevant certificates are mentioned in Annex 9 of Council Regulation 2658/87/EEC.
200 	Generalised Systems of Preferences (GSP) rate without conditions or limits (including ceilings). Application of the GSP duty rate without conditions or limits (form A) or equivalent proofs of preferential origin.
215 	Tariff suspension subject to specific end-use under GSP. It is unlikely that a temporary suspension of the autonomous tariff duties for GSP only and subject to a specific end-use will be created
218 	Tariff suspension subject to a certificate confirming the special nature of the goods. It is unlikely that a tariff suspension for GSP only and subject to a certificate confirming the special nature of the goods will be created.
220 	Tariff quota. The GSP rate is only applicable within the limits of a tariff quota. In these cases, the serial number for the quota is shown beside the preferential rate in the TARIC.
223 	Tariff quota subject to a specific end-use. The application of the quota may be granted under the condition of an end-use only.
225 	Tariff quota subject to a certificate confirming the special nature of the goods. In this case, the use of a tariff quota under GSP would depend on the issue of a certificate confirming the special nature of the goods.
240 	Exemption for end-use resulting from the CCT. No case has been found where the exemption for end-use resulting from CCT is restricted to GSP. Such a possibility could however be created.
250 	Application of GSP rates subject to a certificate confirming the special nature of the goods.
300 	Tariff preference without conditions or limits (including ceilings). Application of the relevant preferential rate without conditions or limits (Certificates EUR1, EUR-MED, or equivalent proofs of preferential origin).
310 	Tariff suspension under preferential agreements. A temporary suspension of the autonomous duty rates under preferential agreements.
