Country,Unit of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Abu Dhabi,Dirham ,,,0.2128,4.6984
Albania,Lek ,,,0.0071,140.6141667
Algeria,Dinar ,,,0.0065,152.9641667
Angola,Readj Kwanza ,,,0.0020,504.7191667
Antigua,E Caribbean Dollar ,,,0.2895,3.454033333
Argentina,Peso ,,,0.0152,65.96833333
Armenia,Dram ,,,0.0016,612.795
Aruba,Florin,,,0.4367,2.2899
Australia,Dollar ,,,0.5403,1.850933333
Azerbaijan,New Manat ,,,0.4608,2.170275
Bahamas,Dollar,,,0.7817,1.279266667
Bahrain,Dinar ,,,2.0735,0.482275
Bangladesh,Taka ,,,0.0092,108.225
Barbados,Dollar ,,,0.3908,2.55855
Belarus,Rouble ,,,0.3744,2.670708333
Belize,Dollar ,,,0.3909,2.558416667
Benin,CFA Franc ,,,0.0013,754.9858333
Bermuda,Dollar (US) ,,,0.7817,1.279266667
Bhutan,Ngultrum ,,,0.0111,90.24666667
Bolivia,Boliviano ,,,0.1131,8.839783333
Bosnia- Herzegovinia,Marka ,,,0.4472,2.23615
Botswana,Pula ,,,0.0725,13.785
Brazil,Real ,,,0.1944,5.143041667
Brunei,Dollar ,,,0.5727,1.746025
Bulgaria,Lev ,,,0.4457,2.243708333
Burkina Faso,CFA Franc ,,,0.0013,754.9858333
Burundi,Franc ,,,0.0004,2372.325
Cambodia,Riel ,,,0.0002,5191.7775
Cameroon Republic,CFA Franc ,,,0.0013,754.9858333
Canada,Dollar,,,0.5903,1.693958333
Cape Verde Islands,Escudo ,,,0.0079,126.7458333
Cayman Islands,Dollar ,,,0.9533,1.049
Central African Republic,CFA Franc ,,,0.0013,754.9858333
Chad,CFA Franc ,,,0.0013,754.9858333
Chile,Peso ,,,0.0011,923.7366667
China,Yuan,,,0.1127,8.87015
Colombia,Peso ,,,0.0002,4219.970833
Comoros,Franc ,,,0.0018,564.3633333
Congo (Brazaville),CFA Franc ,,,0.0013,754.9858333
Congo (DemRep),Congo Fr ,,,0.0001,7956.9025
Costa Rica,Colon ,,,0.0013,740.8725
Cote d'Ivoire,CFA Franc,,,0.0013,754.9858333
Croatia,Kuna ,,,0.1174,8.515383333
Cuba,Peso ,,,0.7817,1.279266667
Czech Republic,Koruna ,,,0.0341,29.315
Denmark,Krone ,,,0.1167,8.5666
Djibouti,Franc ,,,0.0044,227.3475
Dominica,E Caribbean Dollar ,,,0.2895,3.454033333
Dominican Republic,Peso ,,,0.0151,66.345
Dubai,Dirham ,,,0.2128,4.6984
Ecuador,Dollar ,,,0.7817,1.279266667
