Country,Unit of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Abu Dhabi,Dirham ,0.2133,4.689050,,
Albania,Lek ,0.0072,139.310833,,
Algeria,Dinar ,0.0062,160.590833,,
Angola,Readj Kwanza ,0.0014,719.303333,,
Antigua,E Caribbean Dollar ,0.2901,3.447167,,
Argentina,Peso ,0.0113,88.141750,,
Armenia,Dram ,0.0016,619.242500,,
Aruba,Florin,0.4376,2.285333,,
Australia,Dollar ,0.5339,1.873142,,
Azerbaijan,New Manat ,0.4614,2.167325,,
Bahamas,Dollar,0.7832,1.276733,,
Bahrain,Dinar ,2.0802,0.480725,,
Bangladesh,Taka ,0.0092,108.395833,,
Barbados,Dollar ,0.3916,2.553458,,
Belarus,Rouble ,0.3273,3.055558,,
Belize,Dollar ,0.3916,2.553458,,
Benin,CFA Franc ,0.0014,740.530833,,
Bermuda,Dollar (US) ,0.7832,1.276733,,
Bhutan,Ngultrum ,0.0106,94.385833,,
Bolivia,Boliviano ,0.1134,8.822192,,
Bosnia- Herzegovinia,Marka ,0.4544,2.200517,,
Botswana,Pula ,0.0685,14.591667,,
Brazil,Real ,0.1540,6.491583,,
Brunei,Dollar ,0.5669,1.764075,,
Bulgaria,Lev ,0.4529,2.208083,,
Burkina Faso,CFA Franc ,0.0014,740.530833,,
Burundi,Franc ,0.0004,2440.217500,,
Cambodia,Riel ,0.0002,5207.861667,,
Cameroon Republic,CFA Franc ,0.0014,740.530833,,
Canada,Dollar,0.5819,1.718633,,
Cape Verde Islands,Escudo ,0.0071,140.077500,,
Cayman Islands,Dollar ,0.9552,1.046908,,
Central African Republic,CFA Franc ,0.0014,740.530833,,
Chad,CFA Franc ,0.0014,740.530833,,
Chile,Peso ,0.0010,1011.877500,,
China,Yuan,0.1132,8.836050,,
Colombia,Peso ,0.0002,4728.159167,,
Comoros,Franc ,0.0018,555.396667,,
Congo (Brazaville),CFA Franc ,0.0014,740.530833,,
Congo (DemRep),Congo Fr ,0.0004,2337.635000,,
Costa Rica,Colon ,0.0013,741.578333,,
Cote d'Ivoire,CFA Franc,0.0014,740.530833,,
Croatia,Kuna ,0.1177,8.498333,,
Cuba,Peso ,0.7832,1.276733,,
Czech Republic,Koruna ,0.0335,29.850000,,
Denmark,Krone ,0.1188,8.418783,,
Djibouti,Franc ,0.0044,226.896667,,
Dominica,E Caribbean Dollar ,0.2901,3.447167,,
Dominican Republic,Peso ,0.0139,71.733333,,
Dubai,Dirham ,0.2133,4.689050,,
Ecuador,Dollar ,0.7832,1.276733,,
Egypt,Pound ,0.0495,20.204167,,
El Salvador,Colon ,0.0895,11.170000,,
Equatorial Guinea,CFA Franc ,0.0014,740.530833,,
Eritrea,Nakfa ,0.0522,19.146667,,
Ethiopia,Birr ,0.0227,44.015833,,
Eurozone,Euro ,0.8858,1.128925,,
Fiji Islands,Dollar ,0.3596,2.780583,,
Fr. Polynesia,CFP Franc,0.0074,134.714167,,
Gabon,CFA Franc ,0.0014,740.530833,,
Gambia,Dalasi ,0.0152,66.004817,,
Georgia,Lari ,0.2541,3.935558,,
Ghana,Cedi ,0.1368,7.308000,,
Grenada,E Caribbean Dollar ,0.2901,3.447167,,
Guatemala,Quetzal ,0.1016,9.838883,,
Guinea Bissau,CFA Franc,0.0014,740.530833,,
Guinea Republic,Franc ,0.0001,12279.964167,,
Guyana,Dollar ,0.0037,266.823333,,
Haiti,Gourde ,0.0083,120.159167,,
Honduras,Lempira ,0.0318,31.422500,,
Hong Kong,Dollar ,0.1010,9.904692,,
Hungary,Forint ,0.0025,394.454167,,
Iceland,Krona ,0.0058,172.778333,,
India,Rupee ,0.0106,94.385833,,
Indonesia,Rupiah ,0.0001,18468.680833,,
Iraq,Dinar ,0.0007,1520.055000,,
Israel,Shekel ,0.2259,4.426167,,
Jamaica,Dollar ,0.0055,181.420000,,
Japan,Yen ,0.0073,136.966667,,
Jordan,Dinar ,1.1047,0.905200,,
Kazakhstan,Tenge ,0.0019,526.415000,,
Kenya,Schilling ,0.0074,135.229167,,
Kuwait,Dinar ,2.5534,0.391633,,
Kyrgyz Republic,Som ,0.0103,97.189167,,
Lao People's Dem Rep,Kip ,0.0001,11536.412500,,
Lebanon,Pound ,0.0005,1930.905000,,
Lesotho,Loti ,0.0478,20.923333,,
Liberia,Dollar (US) ,0.7832,1.276733,,
Libya,Dinar ,0.5633,1.775383,,
Macao,Pataca ,0.0980,10.201058,,
Macedonia,Denar ,0.0144,69.519167,,
Madagascar,Malagasy Ariary,0.0002,4863.433333,,
Malawi,Kwacha ,0.0011,947.640000,,
Malaysia,Ringgit ,0.1861,5.374058,,
Maldive Islands,Rufiyaa ,0.0508,19.687500,,
Mali Republic,CFA Franc,0.0014,740.530833,,
Mauritania,Ouguiya ,0.0212,47.225000,,
Mauritius,Rupee ,0.0200,49.938333,,
Mexico,Mexican Peso ,0.0365,27.360000,,
Moldova,Leu ,0.0452,22.127500,,
Mongolia,Tugrik ,0.0003,3580.108333,,
Montserrat,E Caribbean Dollar ,0.2901,3.447167,,
Morocco,Dirham ,0.0823,12.150833,,
Mozambique, Metical ,0.0114,87.615000,,
Myanmar,Kyat ,0.0006,1782.799167,,
Nepal,Rupee ,0.0066,151.020833,,
New Caledonia,CFP Franc ,0.0074,134.714167,,
New Zealand,Dollar ,0.5044,1.982358,,
Nicaragua,Gold Cordoba ,0.0229,43.752500,,
Niger Republic,CFA Franc ,0.0014,740.530833,,
Nigeria,Naira ,0.0021,483.495000,,
Norway,Norwegian Krone ,0.0825,12.116667,,
Oman,Rial ,2.0342,0.491600,,
Pakistan,Rupee ,0.0049,205.564167,,
Panama,Balboa ,0.7832,1.276733,,
Papua New Guinea,Kina ,0.2267,4.410667,,
Paraguay,Guarani ,0.0001,8614.231667,,
Peru,New Sol ,0.2257,4.430742,,
Philippines,Peso ,0.0157,63.585833,,
Poland,Zloty ,0.1998,5.003908,,
Qatar,Riyal ,0.2151,4.648642,,
Romania,New Leu ,0.1833,5.455892,,
Russia,Rouble ,0.0110,91.295000,,
Rwanda,Franc ,0.0008,1213.141667,,
Saotome & Principe,Dobra ,0.0000,27989.925000,,
Saudi Arabia,Riyal ,0.2088,4.789858,,
Senegal,CFA Franc ,0.0014,740.530833,,
Serbia,Dinar ,0.0075,132.730000,,
Seychelles,Rupee ,0.0461,21.707500,,
Sierra Leone,Leone ,0.0001,12664.014167,,
Singapore,Dollar ,0.5669,1.764075,,
Soloman Islands,Dollar ,0.0953,10.488000,,
Somali Republic,Schilling ,0.0013,743.965833,,
South Africa,Rand ,0.0478,20.925417,,
South Korea,Won ,0.0007,1511.498333,,
Sri Lanka,Rupee ,0.0042,236.467500,,
St Christopher & Anguilla,E Caribbean Dollar ,0.2901,3.447167,,
St Lucia,E Caribbean Dollar ,0.2901,3.447167,,
St Vincent,E Caribbean Dollar ,0.2901,3.447167,,
Sudan Republic,Pound ,0.0147,68.125000,,
Surinam,Dollar ,0.0854,11.709608,,
Swaziland,Lilangeni ,0.0478,20.923333,,
Sweden,Krona ,0.0842,11.870833,,
Switzerland,Franc ,0.8270,1.209258,,
