Country,Unit of Currency,Currency Code,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Abu Dhabi,Dirham ,AED,,,0.1985,5.036608
Albania,Lek ,ALL,,,0.007,143.280958
Algeria,Dinar ,DZD,,,0.0054,186.727808
Angola,Readj Kwanza ,AOA,,,0.0012,840.224358
Antigua,E Caribbean Dollar ,XCD,,,0.2701,3.702267
Argentina,Peso ,ARS,,,0.0074,134.622542
Armenia,Dram ,AMD,,,0.0015,679.396625
Aruba,Florin,AWG,,,0.4074,2.454475
Australia,Dollar ,AUD,,,0.5397,1.8529
Azerbaijan,New Manat ,AZN,,,0.4292,2.32985
Bahamas,Dollar,BSD,,,0.7293,1.371217
Bahrain,Dinar ,BHD,,,1.9344,0.51695
Bangladesh,Taka ,BDT,,,0.0086,116.877292
Barbados,Dollar ,BBD,,,0.3646,2.742417
Belarus,Rouble ,BYN,,,0.2878,3.474067
Belize,Dollar ,BZD,,,0.3646,2.742417
Benin,CFA Franc ,XOF,,,0.0013,770.204875
Bermuda,Dollar (US) ,BMD,,,0.7293,1.371217
Bhutan,Ngultrum ,BTN,,,0.0098,101.97445
Bolivia,Boliviano ,BOB,,,0.1055,9.475058
Bosnia- Herzegovinia,Marka ,BAM,,,0.4354,2.296483
Botswana,Pula ,BWP,,,0.0652,15.346392
Brazil,Real ,BRL,,,0.1354,7.383258
Brunei,Dollar ,BND,,,0.5406,1.849633
Bulgaria,Lev ,BGN,,,0.4354,2.296692
Burkina Faso,CFA Franc ,XOF,,,0.0013,770.204875
Burundi,Franc ,BIF,,,0.0004,2720.572308
Cambodia,Riel ,KHR,,,0.0002,5377.713067
Cameroon Republic,CFA Franc ,XAF,,,0.0013,770.204875
Canada,Dollar,CAD,,,0.5819,1.718633
Cape Verde Islands,Escudo ,CVE,,,0.0077,129.912975
Cayman Islands,Dollar ,KYD,,,0.8894,1.124392
Central African Republic,CFA Franc ,XAF,,,0.0013,770.204875
Chad,CFA Franc ,XAF,,,0.0013,770.204875
Chile,Peso ,CLP,,,0.0009,1061.542942
China,Yuan,CNY,,,0.1134,8.822225
Colombia,Peso ,COP,,,0.0002,5246.333825
Comoros,Franc ,KMF,,,0.0017,577.653042
Congo (Brazaville),CFA Franc ,XAF,,,0.0013,770.204875
