Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.4918,01/04/2023,30/04/2023
Albania,Lek,ALL,129.4047,01/04/2023,30/04/2023
Algeria,Dinar,DZD,166.0455,01/04/2023,30/04/2023
Angola,Readj Kwanza,AOA,625.3134,01/04/2023,30/04/2023
Antigua,E Caribbean Dollar,XCD,3.3024,01/04/2023,30/04/2023
Argentina,Peso,ARS,251.2163,01/04/2023,30/04/2023
Armenia,Dram,AMD,474.7734,01/04/2023,30/04/2023
Aruba,Florin,AWG,2.1894,01/04/2023,30/04/2023
Australia,Dollar,AUD,1.8295,01/04/2023,30/04/2023
Azerbaijan,New Manat,AZN,2.0784,01/04/2023,30/04/2023
Bahamas,Dollar,BSD,1.2231,01/04/2023,30/04/2023
Bahrain,Dinar,BHD,0.4613,01/04/2023,30/04/2023
Bangladesh,Taka,BDT,131.6063,01/04/2023,30/04/2023
Barbados,Dollar,BBD,2.4462,01/04/2023,30/04/2023
Belarus,Rouble,BYN,3.0578,01/04/2023,30/04/2023
Belize,Dollar,BZD,2.4462,01/04/2023,30/04/2023
Benin,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Bermuda,Dollar (US),BMD,1.2231,01/04/2023,30/04/2023
Bhutan,Ngultrum,BTN,101.1097,01/04/2023,30/04/2023
Bolivia,Boliviano,BOB,8.4517,01/04/2023,30/04/2023
Bosnia- Herzegovinia,Marka,BAM,2.2167,01/04/2023,30/04/2023
Botswana,Pula,BWP,16.1573,01/04/2023,30/04/2023
Brazil,Real,BRL,6.433,01/04/2023,30/04/2023
Brunei,Dollar,BND,1.6306,01/04/2023,30/04/2023
Bulgaria,Lev,BGN,2.2168,01/04/2023,30/04/2023
Burkina Faso,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Burundi,Franc,BIF,2543.2932,01/04/2023,30/04/2023
Cambodia,Riel,KHR,4966.5177,01/04/2023,30/04/2023
Cameroon Republic,CFA Franc,XAF,743.4607,01/04/2023,30/04/2023
Canada,Dollar,CAD,1.6784,01/04/2023,30/04/2023
Cape Verde Islands,Escudo,CVE,124.9089,01/04/2023,30/04/2023
Cayman Islands,Dollar,KYD,1.0029,01/04/2023,30/04/2023
Central African Republic,CFA Franc,XAF,743.4607,01/04/2023,30/04/2023
Chad,CFA Franc,XAF,743.4607,01/04/2023,30/04/2023
Chile,Peso,CLP,998.728,01/04/2023,30/04/2023
China,Yuan,CNY,8.428,01/04/2023,30/04/2023
Colombia,Peso,COP,5844.4944,01/04/2023,30/04/2023
Comoros,Franc,KMF,557.5955,01/04/2023,30/04/2023
Congo (Brazaville),CFA Franc,XAF,743.4607,01/04/2023,30/04/2023
Congo (DemRep),Congo Fr,CDF,2525.7162,01/04/2023,30/04/2023
Costa Rica,Colon,CRC,662.7344,01/04/2023,30/04/2023
Cote d'Ivoire,CFA Franc,XOF,743.4607,01/04/2023,30/04/2023
Cuba,Peso,CUP,29.4421,01/04/2023,30/04/2023
Czech Republic,Koruna,CZK,26.8593,01/04/2023,30/04/2023
Denmark,Krone,DKK,8.4404,01/04/2023,30/04/2023
Djibouti,Franc,DJF,217.7949,01/04/2023,30/04/2023
Dominica,E Caribbean Dollar,XCD,3.3024,01/04/2023,30/04/2023
Dominican Republic,Peso,DOP,66.9773,01/04/2023,30/04/2023
Dubai,Dirham,AED,4.4918,01/04/2023,30/04/2023
Ecuador,Dollar,ECS,1.2231,01/04/2023,30/04/2023
