Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5592,01/06/2022,30/06/2022
Albania,Lek,ALL,142.1044,01/06/2022,30/06/2022
Algeria,Dinar,DZD,180.6829,01/06/2022,30/06/2022
Angola,Readj Kwanza,AOA,512.6359,01/06/2022,30/06/2022
Antigua,E Caribbean Dollar,XCD,3.3514,01/06/2022,30/06/2022
Argentina,Peso,ARS,147.1954,01/06/2022,30/06/2022
Armenia,Dram,AMD,567.8591,01/06/2022,30/06/2022
Aruba,Florin,AWG,2.2218,01/06/2022,30/06/2022
Australia,Dollar,AUD,1.7806,01/06/2022,30/06/2022
Azerbaijan,New Manat,AZN,2.1089,01/06/2022,30/06/2022
Bahamas,Dollar,BSD,1.2471,01/06/2022,30/06/2022
Bahrain,Dinar,BHD,0.4679,01/06/2022,30/06/2022
Bangladesh,Taka,BDT,108.6714,01/06/2022,30/06/2022
Barbados,Dollar,BBD,2.4825,01/06/2022,30/06/2022
Belarus,Rouble,BYN,4.2016,01/06/2022,30/06/2022
Belize,Dollar,BZD,2.4825,01/06/2022,30/06/2022
Benin,CFA Franc,XOF,774.5124,01/06/2022,30/06/2022
Bermuda,Dollar (US),BMD,1.2471,01/06/2022,30/06/2022
Bhutan,Ngultrum,BTN,96.7277,01/06/2022,30/06/2022
Bolivia,Boliviano,BOB,8.577,01/06/2022,30/06/2022
Bosnia- Herzegovinia,Marka,BAM,2.3093,01/06/2022,30/06/2022
Botswana,Pula,BWP,15.128,01/06/2022,30/06/2022
Brazil,Real,BRL,6.2063,01/06/2022,30/06/2022
Brunei,Dollar,BND,1.7209,01/06/2022,30/06/2022
Bulgaria,Lev,BGN,2.3096,01/06/2022,30/06/2022
Burkina Faso,CFA Franc,XOF,774.5124,01/06/2022,30/06/2022
Burundi,Franc,BIF,2496.1522,01/06/2022,30/06/2022
Cambodia,Riel,KHR,5040.713,01/06/2022,30/06/2022
Cameroon Republic,CFA Franc,XAF,774.5124,01/06/2022,30/06/2022
Canada,Dollar,CAD,1.6018,01/06/2022,30/06/2022
Cape Verde Islands,Escudo,CVE,130.176,01/06/2022,30/06/2022
Cayman Islands,Dollar,KYD,1.0178,01/06/2022,30/06/2022
Central African Republic,CFA Franc,XAF,774.5124,01/06/2022,30/06/2022
Chad,CFA Franc,XAF,774.5124,01/06/2022,30/06/2022
Chile,Peso,CLP,1054.8757,01/06/2022,30/06/2022
China,Yuan,CNY,8.3774,01/06/2022,30/06/2022
Colombia,Peso,COP,5038.2326,01/06/2022,30/06/2022
Comoros,Franc,KMF,580.8843,01/06/2022,30/06/2022
Congo (Brazaville),CFA Franc,XAF,774.5124,01/06/2022,30/06/2022
Congo (DemRep),Congo Fr,CDF,2478.7749,01/06/2022,30/06/2022
Costa Rica,Colon,CRC,834.0761,01/06/2022,30/06/2022
Cote d'Ivoire,CFA Franc,XOF,774.5124,01/06/2022,30/06/2022
Croatia,Kuna,HRK,8.8972,01/06/2022,30/06/2022
Cuba,Peso,CUP,1.2412,01/06/2022,30/06/2022
Czech Republic,Koruna,CZK,29.1134,01/06/2022,30/06/2022
Denmark,Krone,DKK,8.8078,01/06/2022,30/06/2022
Djibouti,Franc,DJF,220.992,01/06/2022,30/06/2022
Dominica,E Caribbean Dollar,XCD,3.3514,01/06/2022,30/06/2022
Dominican Republic,Peso,DOP,68.6163,01/06/2022,30/06/2022
Dubai,Dirham,AED,4.5592,01/06/2022,30/06/2022
Ecuador,Dollar,ECS,1.2471,01/06/2022,30/06/2022
Egypt,Pound,EGP,22.6609,01/06/2022,30/06/2022
El Salvador,Colon,SVC,10.8614,01/06/2022,30/06/2022
Equatorial Guinea,CFA Franc,XAF,774.5124,01/06/2022,30/06/2022
Eritrea,Nakfa,ERN,18.6187,01/06/2022,30/06/2022
Ethiopia,Birr,ETB,64.2327,01/06/2022,30/06/2022
Eurozone,Euro,EUR,1.1837,01/06/2022,30/06/2022
Fiji Islands,Dollar,FJD,2.7209,01/06/2022,30/06/2022
Fr. Polynesia,CFP Franc,XPF,140.8993,01/06/2022,30/06/2022
