Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.6061,01/07/2020,31/07/2020
Albania,Lek,ALL,138.88,01/07/2020,31/07/2020
Algeria,Dinar,DZD,161.67,01/07/2020,31/07/2020
Angola,Readj Kwanza,AOA,750.91,01/07/2020,31/07/2020
Antigua,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
Argentina,Peso,ARS,87.2755,01/07/2020,31/07/2020
Armenia,Dram,AMD,607.9,01/07/2020,31/07/2020
Aruba,Florin,AWG,2.2447,01/07/2020,31/07/2020
Australia,Dollar,AUD,1.8136,01/07/2020,31/07/2020
Azerbaijan,New Manat,AZN,2.1274,01/07/2020,31/07/2020
Bahamas,Dollar,BSD,1.254,01/07/2020,31/07/2020
Bahrain,Dinar,BHD,0.4728,01/07/2020,31/07/2020
Bangladesh,Taka,BDT,106.65,01/07/2020,31/07/2020
Barbados,Dollar,BBD,2.508,01/07/2020,31/07/2020
Belarus,Rouble,BYN,2.9944,01/07/2020,31/07/2020
Belize,Dollar,BZD,2.508,01/07/2020,31/07/2020
Benin,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Bermuda,Dollar (US),BMD,1.254,01/07/2020,31/07/2020
Bhutan,Ngultrum,BTN,95.5,01/07/2020,31/07/2020
Bolivia,Boliviano,BOB,8.6651,01/07/2020,31/07/2020
Bosnia- Herzegovinia,Marka,BAM,2.1854,01/07/2020,31/07/2020
Botswana,Pula,BWP,14.7,01/07/2020,31/07/2020
Brazil,Real,BRL,6.5788,01/07/2020,31/07/2020
Brunei,Dollar,BND,1.747,01/07/2020,31/07/2020
Bulgaria,Lev,BGN,2.1857,01/07/2020,31/07/2020
Burkina Faso,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Burundi,Franc,BIF,2396.38,01/07/2020,31/07/2020
Cambodia,Riel,KHR,5098.75,01/07/2020,31/07/2020
Cameroon Republic,CFA Franc,XAF,732.96,01/07/2020,31/07/2020
Canada,Dollar,CAD,1.6997,01/07/2020,31/07/2020
Cape Verde Islands,Escudo,CVE,123.29,01/07/2020,31/07/2020
Cayman Islands,Dollar,KYD,1.0283,01/07/2020,31/07/2020
Central African Republic,CFA Franc,XAF,732.96,01/07/2020,31/07/2020
Chad,CFA Franc,XAF,732.96,01/07/2020,31/07/2020
Chile,Peso,CLP,1000.52,01/07/2020,31/07/2020
China,Yuan,CNY,8.8847,01/07/2020,31/07/2020
Colombia,Peso,COP,4707.34,01/07/2020,31/07/2020
Comoros,Franc,KMF,549.72,01/07/2020,31/07/2020
Congo (Brazaville),CFA Franc,XAF,732.96,01/07/2020,31/07/2020
Congo (DemRep),Congo Fr,CDF,2382.9,01/07/2020,31/07/2020
Costa Rica,Colon,CRC,720.49,01/07/2020,31/07/2020
Cote d'Ivoire,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Croatia,Kuna,HRK,8.4324,01/07/2020,31/07/2020
Cuba,Peso,CUP,1.254,01/07/2020,31/07/2020
Czech Republic,Koruna,CZK,29.71,01/07/2020,31/07/2020
Denmark,Krone,DKK,8.3314,01/07/2020,31/07/2020
Djibouti,Franc,DJF,222.86,01/07/2020,31/07/2020
Dominica,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
Dominican Republic,Peso,DOP,73.23,01/07/2020,31/07/2020
Dubai,Dirham,AED,4.6061,01/07/2020,31/07/2020
Ecuador,Dollar,ECS,1.254,01/07/2020,31/07/2020
Egypt,Pound,EGP,20.29,01/07/2020,31/07/2020
El Salvador,Colon,SVC,11.02,01/07/2020,31/07/2020
Equatorial Guinea,CFA Franc,XAF,732.96,01/07/2020,31/07/2020
Eritrea,Nakfa,ERN,18.81,01/07/2020,31/07/2020
Ethiopia,Birr,ETB,43.37,01/07/2020,31/07/2020
Eurozone,Euro,EUR,1.1174,01/07/2020,31/07/2020
Fiji Islands,Dollar,FJD,2.7264,01/07/2020,31/07/2020
Fr. Polynesia,CFP Franc,XPF,133.34,01/07/2020,31/07/2020
Gabon,CFA Franc,XAF,732.96,01/07/2020,31/07/2020
Gambia,Dalasi,GMD,65.019,01/07/2020,31/07/2020
Georgia,Lari,GEL,3.8034,01/07/2020,31/07/2020
Ghana,Cedi,GHS,7.2606,01/07/2020,31/07/2020
Grenada,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
Guatemala,Quetzal,GTQ,9.6615,01/07/2020,31/07/2020
Guinea Bissau,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Guinea Republic,Franc,GNF,12058.44,01/07/2020,31/07/2020
Guyana,Dollar,GYD,263.34,01/07/2020,31/07/2020
Haiti,Gourde,HTG,139.58,01/07/2020,31/07/2020
Honduras,Lempira,HNL,31.06,01/07/2020,31/07/2020
Hong Kong,Dollar,HKD,9.7186,01/07/2020,31/07/2020
Hungary,Forint,HUF,385.14,01/07/2020,31/07/2020
Iceland,Krona,ISK,170.29,01/07/2020,31/07/2020
India,Rupee,INR,95.5,01/07/2020,31/07/2020
Indonesia,Rupiah,IDR,17659.42,01/07/2020,31/07/2020
Iraq,Dinar,IQD,1492.88,01/07/2020,31/07/2020
Israel,Shekel,ILS,4.3279,01/07/2020,31/07/2020
Jamaica,Dollar,JMD,176.22,01/07/2020,31/07/2020
Japan,Yen,JPY,134.48,01/07/2020,31/07/2020
Jordan,Dinar,JOD,0.8891,01/07/2020,31/07/2020
Kazakhstan,Tenge,KZT,507.51,01/07/2020,31/07/2020
Kenya,Schilling,KES,133.29,01/07/2020,31/07/2020
Kuwait,Dinar,KWD,0.386,01/07/2020,31/07/2020
Kyrgyz Republic,Som,KGS,93.65,01/07/2020,31/07/2020
Lao People's Dem Rep,Kip,LAK,11361.21,01/07/2020,31/07/2020
Lebanon,Pound,LBP,1896.04,01/07/2020,31/07/2020
Lesotho,Loti,LSL,21.54,01/07/2020,31/07/2020
Liberia,Dollar (US),LRD,1.254,01/07/2020,31/07/2020
Libya,Dinar,LYD,1.7493,01/07/2020,31/07/2020
Macao,Pataca,MOP,10.0102,01/07/2020,31/07/2020
Macedonia,Denar,MKD,68.8,01/07/2020,31/07/2020
Madagascar,Malagasy Ariary,MGA,4818.48,01/07/2020,31/07/2020
Malawi,Kwacha,MWK,924.27,01/07/2020,31/07/2020
Malaysia,Ringgit,MYR,5.3677,01/07/2020,31/07/2020
Maldive Islands,Rufiyaa,MVR,19.32,01/07/2020,31/07/2020
Mali Republic,CFA Franc,XOF,732.96,01/07/2020,31/07/2020
Mauritania,Ouguiya,MRU,47.07,01/07/2020,31/07/2020
Mauritius,Rupee,MUR,49.84,01/07/2020,31/07/2020
Mexico,Mexican Peso,MXN,27.95,01/07/2020,31/07/2020
Moldova,Leu,MDL,21.6,01/07/2020,31/07/2020
Mongolia,Tugrik,MNT,3533.76,01/07/2020,31/07/2020
Montserrat,E Caribbean Dollar,XCD,3.3858,01/07/2020,31/07/2020
Morocco,Dirham,MAD,12.14,01/07/2020,31/07/2020
Mozambique,Metical,MZN,86.5,01/07/2020,31/07/2020
Myanmar,Kyat,MMK,1762.53,01/07/2020,31/07/2020
