Country,Unit Of Currency,Sterling value of Currency Unit �,Currency Units per �1,Sterling value of Currency Unit �,Currency Units per �1
Australia,Dollar,AUD,0.5647,1.7709
Canada,Dollar,CAD,0.5759,1.7363
Denmark,Krone,DKK,0.1215,8.2306
Eurozone,Euro,EUR,0.9038,1.1064
Hong Kong,Dollar,HKD,0.0948,10.5506
Japan,Yen,JPY,0.0071,140.5114
Norway,Norwegian Krone,NOK,0.0861,11.6191
South Africa,Rand,ZAR,0.0503,19.8767
Sweden,Krona,SEK,0.0898,11.1400
Switzerland,Franc,CHF,0.8322,1.2016
USA,Dollar,USD,0.7348,1.3610
