Country/Territories,Currency Name,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,5.006,01/02/2022,28/02/2022
Albania,Lek,ALL,146.3413,01/02/2022,28/02/2022
Algeria,Dinar,DZD,190.4456,01/02/2022,28/02/2022
Angola,Readj Kwanza,AOA,737.1854,01/02/2022,28/02/2022
Antigua,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
Argentina,Peso,ARS,142.0747,01/02/2022,28/02/2022
Armenia,Dram,AMD,655.2144,01/02/2022,28/02/2022
Aruba,Florin,AWG,2.4396,01/02/2022,28/02/2022
Australia,Dollar,AUD,1.8874,01/02/2022,28/02/2022
Azerbaijan,New Manat,AZN,2.3156,01/02/2022,28/02/2022
Bahamas,Dollar,BSD,1.3629,01/02/2022,28/02/2022
Bahrain,Dinar,BHD,0.5137,01/02/2022,28/02/2022
Bangladesh,Taka,BDT,117.2093,01/02/2022,28/02/2022
Barbados,Dollar,BBD,2.7258,01/02/2022,28/02/2022
Belarus,Rouble,BYN,3.5265,01/02/2022,28/02/2022
Belize,Dollar,BZD,2.7258,01/02/2022,28/02/2022
Benin,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Bermuda,Dollar (US),BMD,1.3629,01/02/2022,28/02/2022
Bhutan,Ngultrum,BTN,101.4525,01/02/2022,28/02/2022
Bolivia,Boliviano,BOB,9.4176,01/02/2022,28/02/2022
Bosnia- Herzegovinia,Marka,BAM,2.3496,01/02/2022,28/02/2022
Botswana,Pula,BWP,15.747,01/02/2022,28/02/2022
Brazil,Real,BRL,7.4609,01/02/2022,28/02/2022
Brunei,Dollar,BND,1.8364,01/02/2022,28/02/2022
Bulgaria,Lev,BGN,2.3495,01/02/2022,28/02/2022
Burkina Faso,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Burundi,Franc,BIF,2733.9764,01/02/2022,28/02/2022
Cambodia,Riel,KHR,5550.4068,01/02/2022,28/02/2022
Cameroon Republic,CFA Franc,XAF,788.0152,01/02/2022,28/02/2022
Canada,Dollar,CAD,1.7057,01/02/2022,28/02/2022
Cape Verde Islands,Escudo,CVE,133.019,01/02/2022,28/02/2022
Cayman Islands,Dollar,KYD,1.1176,01/02/2022,28/02/2022
Central African Republic,CFA Franc,XAF,788.0152,01/02/2022,28/02/2022
Chad,CFA Franc,XAF,788.0152,01/02/2022,28/02/2022
Chile,Peso,CLP,1105.652,01/02/2022,28/02/2022
China,Yuan,CNY,8.6574,01/02/2022,28/02/2022
Colombia,Peso,COP,5450.2417,01/02/2022,28/02/2022
Comoros,Franc,KMF,591.0114,01/02/2022,28/02/2022
Congo (Brazaville),CFA Franc,XAF,788.0152,01/02/2022,28/02/2022
Congo (DemRep),Congo Fr,CDF,2731.2502,01/02/2022,28/02/2022
Costa Rica,Colon,CRC,861.9997,01/02/2022,28/02/2022
Cote d'Ivoire,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Croatia,Kuna,HRK,9.0385,01/02/2022,28/02/2022
Cuba,Peso,CUP,1.3629,01/02/2022,28/02/2022
Czech Republic,Koruna,CZK,29.1621,01/02/2022,28/02/2022
Denmark,Krone,DKK,8.9408,01/02/2022,28/02/2022
Djibouti,Franc,DJF,242.2144,01/02/2022,28/02/2022
Dominica,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
Dominican Republic,Peso,DOP,78.5848,01/02/2022,28/02/2022
Dubai,Dirham,AED,5.006,01/02/2022,28/02/2022
Ecuador,Dollar,ECS,1.3629,01/02/2022,28/02/2022
Egypt,Pound,EGP,21.4122,01/02/2022,28/02/2022
El Salvador,Colon,SVC,11.9268,01/02/2022,28/02/2022
Equatorial Guinea,CFA Franc,XAF,788.0152,01/02/2022,28/02/2022
Eritrea,Nakfa,ERN,20.4435,01/02/2022,28/02/2022
Ethiopia,Birr,ETB,67.764,01/02/2022,28/02/2022
Eurozone,Euro,EUR,1.2013,01/02/2022,28/02/2022
Fiji Islands,Dollar,FJD,2.8977,01/02/2022,28/02/2022
Fr. Polynesia,CFP Franc,XPF,143.3557,01/02/2022,28/02/2022
Gabon,CFA Franc,XAF,788.0152,01/02/2022,28/02/2022
Gambia,Dalasi,GMD,72.7107,01/02/2022,28/02/2022
Georgia,Lari,GEL,4.1977,01/02/2022,28/02/2022
Ghana,Cedi,GHS,8.5454,01/02/2022,28/02/2022
Grenada,E Caribbean Dollar,XCD,3.6798,01/02/2022,28/02/2022
Guatemala,Quetzal,GTQ,10.4938,01/02/2022,28/02/2022
Guinea Bissau,CFA Franc,XOF,788.0152,01/02/2022,28/02/2022
Guinea Republic,Franc,GNF,12348.5603,01/02/2022,28/02/2022
Guyana,Dollar,GYD,285.252,01/02/2022,28/02/2022
Haiti,Gourde,HTG,137.7046,01/02/2022,28/02/2022
Honduras,Lempira,HNL,33.5333,01/02/2022,28/02/2022
Hong Kong,Dollar,HKD,10.6186,01/02/2022,28/02/2022
Hungary,Forint,HUF,427.238,01/02/2022,28/02/2022
