Country,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.3209,01/04/2020,30/04/2020
Albania,Lek,ALL,133.22,01/04/2020,30/04/2020
Algeria,Dinar,DZD,143.26,01/04/2020,30/04/2020
Angola,Readj Kwanza,AOA,595.59,01/04/2020,30/04/2020
Antigua,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
Argentina,Peso,ARS,74.47,01/04/2020,30/04/2020
Armenia,Dram,AMD,577.03,01/04/2020,30/04/2020
Aruba,Florin,AWG,2.1057,01/04/2020,30/04/2020
Australia,Dollar,AUD,2.0209,01/04/2020,30/04/2020
Azerbaijan,New Manat,AZN,1.9957,01/04/2020,30/04/2020
Bahamas,Dollar,BSD,1.1763,01/04/2020,30/04/2020
Bahrain,Dinar,BHD,0.44,01/04/2020,30/04/2020
Bangladesh,Taka,BDT,99.98,01/04/2020,30/04/2020
Barbados,Dollar,BBD,2.3527,01/04/2020,30/04/2020
Belarus,Rouble,BYN,2.942,01/04/2020,30/04/2020
Belize,Dollar,BZD,2.3527,01/04/2020,30/04/2020
Benin,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Bermuda,Dollar (US),BMD,1.1763,01/04/2020,30/04/2020
Bhutan,Ngultrum,BTN,87.35,01/04/2020,30/04/2020
Bolivia,Boliviano,BOB,8.1286,01/04/2020,30/04/2020
Bosnia- Herzegovinia,Marka,BAM,2.1237,01/04/2020,30/04/2020
Botswana,Pula,BWP,13.79,01/04/2020,30/04/2020
Brazil,Real,BRL,6.0201,01/04/2020,30/04/2020
Brunei,Dollar,BND,1.6999,01/04/2020,30/04/2020
Bulgaria,Lev,BGN,2.1236,01/04/2020,30/04/2020
Burkina Faso,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Burundi,Franc,BIF,2230.35,01/04/2020,30/04/2020
Cambodia,Riel,KHR,4764.2,01/04/2020,30/04/2020
Cameroon Republic,CFA Franc,XAF,712.26,01/04/2020,30/04/2020
Canada,Dollar,CAD,1.7094,01/04/2020,30/04/2020
Cape Verde Islands,Escudo,CVE,302.96,01/04/2020,30/04/2020
Cayman Islands,Dollar,KYD,0.9646,01/04/2020,30/04/2020
Central African Republic,CFA Franc,XAF,712.26,01/04/2020,30/04/2020
Chad,CFA Franc,XAF,712.26,01/04/2020,30/04/2020
Chile,Peso,CLP,1018.62,01/04/2020,30/04/2020
China,Yuan,CNY,8.265,01/04/2020,30/04/2020
Colombia,Peso,COP,4874.18,01/04/2020,30/04/2020
Comoros,Franc,KMF,534.19,01/04/2020,30/04/2020
Congo (Brazaville),CFA Franc,XAF,712.26,01/04/2020,30/04/2020
Congo (DemRep),Congo Fr,CDF,2009.19,01/04/2020,30/04/2020
Costa Rica,Colon,CRC,665.76,01/04/2020,30/04/2020
Cote d'Ivoire,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Croatia,Kuna,HRK,8.2509,01/04/2020,30/04/2020
Cuba,Peso,CUP,1.1763,01/04/2020,30/04/2020
Czech Republic,Koruna,CZK,30.05,01/04/2020,30/04/2020
Denmark,Krone,DKK,8.1156,01/04/2020,30/04/2020
Djibouti,Franc,DJF,209.06,01/04/2020,30/04/2020
Dominica,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
Dominican Republic,Peso,DOP,63.48,01/04/2020,30/04/2020
Dubai,Dirham,AED,4.3209,01/04/2020,30/04/2020
Ecuador,Dollar,ECS,1.1763,01/04/2020,30/04/2020
Egypt,Pound,EGP,18.52,01/04/2020,30/04/2020
El Salvador,Colon,SVC,10.29,01/04/2020,30/04/2020
Equatorial Guinea,CFA Franc,XAF,712.26,01/04/2020,30/04/2020
Eritrea,Nakfa,ERN,17.64,01/04/2020,30/04/2020
Ethiopia,Birr,ETB,37.67,01/04/2020,30/04/2020
Eurozone,Euro,EUR,1.0858,01/04/2020,30/04/2020
Fiji Islands,Dollar,FJD,2.7121,01/04/2020,30/04/2020
Fr. Polynesia,CFP Franc,XPF,129.57,01/04/2020,30/04/2020
Gabon,CFA Franc,XAF,712.26,01/04/2020,30/04/2020
Gambia,Dalasi,GMD,60.28,01/04/2020,30/04/2020
Georgia,Lari,GEL,3.582,01/04/2020,30/04/2020
Ghana,Cedi,GHS,6.6581,01/04/2020,30/04/2020
Grenada,E Caribbean Dollar,XCD,3.1761,01/04/2020,30/04/2020
Guatemala,Quetzal,GTQ,8.9882,01/04/2020,30/04/2020
Guinea Bissau,CFA Franc,XOF,712.26,01/04/2020,30/04/2020
Guinea Republic,Franc,GNF,11224.7,01/04/2020,30/04/2020
Guyana,Dollar,GYD,245.27,01/04/2020,30/04/2020
Haiti,Gourde,HTG,113.84,01/04/2020,30/04/2020
Honduras,Lempira,HNL,29.06,01/04/2020,30/04/2020
Hong Kong,Dollar,HKD,9.1386,01/04/2020,30/04/2020
Hungary,Forint,HUF,384.17,01/04/2020,30/04/2020
Iceland,Krona,ISK,165.02,01/04/2020,30/04/2020
India,Rupee,INR,87.35,01/04/2020,30/04/2020
Indonesia,Rupiah,IDR,17901.06,01/04/2020,30/04/2020
Iraq,Dinar,IQD,1400.44,01/04/2020,30/04/2020
Israel,Shekel,ILS,4.4269,01/04/2020,30/04/2020
Jamaica,Dollar,JMD,159.88,01/04/2020,30/04/2020
Japan,Yen,JPY,127.61,01/04/2020,30/04/2020
Jordan,Dinar,JOD,0.834,01/04/2020,30/04/2020
Kazakhstan,Tenge,KZT,521.81,01/04/2020,30/04/2020
Kenya,Schilling,KES,122.57,01/04/2020,30/04/2020
Kuwait,Dinar,KWD,0.3651,01/04/2020,30/04/2020
Kyrgyz Republic,Som,KGS,85.75,01/04/2020,30/04/2020
Lao People's Dem Rep,Kip,LAK,10493,01/04/2020,30/04/2020
Lebanon,Pound,LBP,1778.87,01/04/2020,30/04/2020
Lesotho,Loti,LSL,20.11,01/04/2020,30/04/2020
Liberia,Dollar (US),LRD,1.1763,01/04/2020,30/04/2020
Libya,Dinar,LYD,1.6586,01/04/2020,30/04/2020
