Country/Territories,Currency,Currency Code,Currency units per £1 ,Start Date,End Date
Abu Dhabi,Dirham,AED,4.5278,01/05/2020,31/05/2020
Albania,Lek,ALL,141.94,01/05/2020,31/05/2020
Algeria,Dinar,DZD,158.33,01/05/2020,31/05/2020
Angola,Readj Kwanza,AOA,692.71,01/05/2020,31/05/2020
Antigua,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
Argentina,Peso,ARS,81.64,01/05/2020,31/05/2020
Armenia,Dram,AMD,591.45,01/05/2020,31/05/2020
Aruba,Florin,AWG,2.2065,01/05/2020,31/05/2020
Australia,Dollar,AUD,1.9526,01/05/2020,31/05/2020
Azerbaijan,New Manat,AZN,2.0913,01/05/2020,31/05/2020
Bahamas,Dollar,BSD,1.2327,01/05/2020,31/05/2020
Bahrain,Dinar,BHD,0.46,01/05/2020,31/05/2020
Bangladesh,Taka,BDT,104.71,01/05/2020,31/05/2020
Barbados,Dollar,BBD,2.4654,01/05/2020,31/05/2020
Belarus,Rouble,BYN,3.0555,01/05/2020,31/05/2020
Belize,Dollar,BZD,2.4654,01/05/2020,31/05/2020
Benin,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Bermuda,Dollar (US),BMD,1.2327,01/05/2020,31/05/2020
Bhutan,Ngultrum,BTN,94.52,01/05/2020,31/05/2020
Bolivia,Boliviano,BOB,8.5179,01/05/2020,31/05/2020
Bosnia- Herzegovinia,Marka,BAM,2.2267,01/05/2020,31/05/2020
Botswana,Pula,BWP,15.14,01/05/2020,31/05/2020
Brazil,Real,BRL,6.6448,01/05/2020,31/05/2020
Brunei,Dollar,BND,1.76,01/05/2020,31/05/2020
Bulgaria,Lev,BGN,2.2267,01/05/2020,31/05/2020
Burkina Faso,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Burundi,Franc,BIF,2352.6,01/05/2020,31/05/2020
Cambodia,Riel,KHR,5029.39,01/05/2020,31/05/2020
Cameroon Republic,CFA Franc,XAF,746.79,01/05/2020,31/05/2020
Canada,Dollar,CAD,1.7446,01/05/2020,31/05/2020
Cape Verde Islands,Escudo,CVE,126.1,01/05/2020,31/05/2020
Cayman Islands,Dollar,KYD,1.0108,01/05/2020,31/05/2020
Central African Republic,CFA Franc,XAF,746.79,01/05/2020,31/05/2020
Chad,CFA Franc,XAF,746.79,01/05/2020,31/05/2020
Chile,Peso,CLP,1056.29,01/05/2020,31/05/2020
China,Yuan,CNY,8.7325,01/05/2020,31/05/2020
Colombia,Peso,COP,4996.79,01/05/2020,31/05/2020
Comoros,Franc,KMF,560.09,01/05/2020,31/05/2020
Congo (Brazaville),CFA Franc,XAF,746.79,01/05/2020,31/05/2020
Congo (DemRep),Congo Fr,CDF,2115.3,01/05/2020,31/05/2020
Costa Rica,Colon,CRC,700.28,01/05/2020,31/05/2020
Cote d'Ivoire,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Croatia,Kuna,HRK,8.6189,01/05/2020,31/05/2020
Cuba,Peso,CUP,1.2327,01/05/2020,31/05/2020
Czech Republic,Koruna,CZK,31.35,01/05/2020,31/05/2020
Denmark,Krone,DKK,8.4906,01/05/2020,31/05/2020
Djibouti,Franc,DJF,219.07,01/05/2020,31/05/2020
Dominica,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
Dominican Republic,Peso,DOP,67.12,01/05/2020,31/05/2020
Dubai,Dirham,AED,4.5278,01/05/2020,31/05/2020
Ecuador,Dollar,ECS,1.2327,01/05/2020,31/05/2020
Egypt,Pound,EGP,19.41,01/05/2020,31/05/2020
El Salvador,Colon,SVC,10.78,01/05/2020,31/05/2020
Equatorial Guinea,CFA Franc,XAF,746.79,01/05/2020,31/05/2020
Eritrea,Nakfa,ERN,18.49,01/05/2020,31/05/2020
Ethiopia,Birr,ETB,41.12,01/05/2020,31/05/2020
Eurozone,Euro,EUR,1.1385,01/05/2020,31/05/2020
Fiji Islands,Dollar,FJD,2.8027,01/05/2020,31/05/2020
Fr. Polynesia,CFP Franc,XPF,135.85,01/05/2020,31/05/2020
Gabon,CFA Franc,XAF,746.79,01/05/2020,31/05/2020
Gambia,Dalasi,GMD,63.66,01/05/2020,31/05/2020
Georgia,Lari,GEL,3.9243,01/05/2020,31/05/2020
Ghana,Cedi,GHS,7.1127,01/05/2020,31/05/2020
Grenada,E Caribbean Dollar,XCD,3.3283,01/05/2020,31/05/2020
Guatemala,Quetzal,GTQ,9.5053,01/05/2020,31/05/2020
Guinea Bissau,CFA Franc,XOF,746.79,01/05/2020,31/05/2020
Guinea Republic,Franc,GNF,11777.18,01/05/2020,31/05/2020
Guyana,Dollar,GYD,257.77,01/05/2020,31/05/2020
Haiti,Gourde,HTG,123.22,01/05/2020,31/05/2020
Honduras,Lempira,HNL,30.59,01/05/2020,31/05/2020
Hong Kong,Dollar,HKD,9.5535,01/05/2020,31/05/2020
Hungary,Forint,HUF,406.18,01/05/2020,31/05/2020
Iceland,Krona,ISK,180.57,01/05/2020,31/05/2020
India,Rupee,INR,94.52,01/05/2020,31/05/2020
Indonesia,Rupiah,IDR,19075.99,01/05/2020,31/05/2020
Iraq,Dinar,IQD,1466.9,01/05/2020,31/05/2020
Israel,Shekel,ILS,4.3637,01/05/2020,31/05/2020
Jamaica,Dollar,JMD,172.16,01/05/2020,31/05/2020
Japan,Yen,JPY,132.88,01/05/2020,31/05/2020
Jordan,Dinar,JOD,0.874,01/05/2020,31/05/2020
Kazakhstan,Tenge,KZT,539.45,01/05/2020,31/05/2020
Kenya,Schilling,KES,132.2,01/05/2020,31/05/2020
Kuwait,Dinar,KWD,0.3846,01/05/2020,31/05/2020
Kyrgyz Republic,Som,KGS,98.27,01/05/2020,31/05/2020
Lao People's Dem Rep,Kip,LAK,11063.44,01/05/2020,31/05/2020
Lebanon,Pound,LBP,1863.83,01/05/2020,31/05/2020
Lesotho,Loti,LSL,23.34,01/05/2020,31/05/2020
Liberia,Dollar (US),LRD,1.2327,01/05/2020,31/05/2020
Libya,Dinar,LYD,1.7443,01/05/2020,31/05/2020
Macao,Pataca,MOP,9.8401,01/05/2020,31/05/2020
Macedonia,Denar,MKD,70.13,01/05/2020,31/05/2020
Madagascar,Malagasy Ariary,MGA,4675.61,01/05/2020,31/05/2020
Malawi,Kwacha,MWK,907.8,01/05/2020,31/05/2020
Malaysia,Ringgit,MYR,5.3869,01/05/2020,31/05/2020
Maldive Islands,Rufiyaa,MVR,19.01,01/05/2020,31/05/2020
