Country/Territories,Currency,Currency Code,Currency Units per £1,Start Date ,End Date
Abu Dhabi,Dirham,AED,4.5409,01/06/2023,30/06/2023
Albania,Lek,ALL,127.3216,01/06/2023,30/06/2023
Algeria,Dinar,DZD,169.0431,01/06/2023,30/06/2023
Angola,Readj Kwanza,AOA,673.4018,01/06/2023,30/06/2023
Antigua,E Caribbean Dollar,XCD,3.3387,01/06/2023,30/06/2023
Argentina,Peso,ARS,291.3043,01/06/2023,30/06/2023
Armenia,Dram,AMD,477.2351,01/06/2023,30/06/2023
Aruba,Florin,AWG,2.2134,01/06/2023,30/06/2023
Australia,Dollar,AUD,1.8915,01/06/2023,30/06/2023
Azerbaijan,New Manat,AZN,2.1021,01/06/2023,30/06/2023
Bahamas,Dollar,BSD,1.2366,01/06/2023,30/06/2023
Bahrain,Dinar,BHD,0.4662,01/06/2023,30/06/2023
Bangladesh,Taka,BDT,132.5955,01/06/2023,30/06/2023
Barbados,Dollar,BBD,2.4731,01/06/2023,30/06/2023
Belarus,Rouble,BYN,3.0914,01/06/2023,30/06/2023
Belize,Dollar,BZD,2.4731,01/06/2023,30/06/2023
Benin,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Bermuda,Dollar (US),BMD,1.2366,01/06/2023,30/06/2023
Bhutan,Ngultrum,BTN,102.2289,01/06/2023,30/06/2023
Bolivia,Boliviano,BOB,8.5446,01/06/2023,30/06/2023
Bosnia- Herzegovinia,Marka,BAM,2.2471,01/06/2023,30/06/2023
Botswana,Pula,BWP,16.8238,01/06/2023,30/06/2023
Brazil,Real,BRL,6.1256,01/06/2023,30/06/2023
Brunei,Dollar,BND,1.6684,01/06/2023,30/06/2023
Bulgaria,Lev,BGN,2.2454,01/06/2023,30/06/2023
Burkina Faso,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Burundi,Franc,BIF,3484.0389,01/06/2023,30/06/2023
Cambodia,Riel,KHR,5076.9235,01/06/2023,30/06/2023
Cameroon Republic,CFA Franc,XAF,753.6588,01/06/2023,30/06/2023
Canada,Dollar,CAD,1.6803,01/06/2023,30/06/2023
Cape Verde Islands,Escudo,CVE,126.6462,01/06/2023,30/06/2023
Cayman Islands,Dollar,KYD,1.014,01/06/2023,30/06/2023
Central African Republic,CFA Franc,XAF,753.6588,01/06/2023,30/06/2023
Chad,CFA Franc,XAF,753.6588,01/06/2023,30/06/2023
Chile,Peso,CLP,1002.5968,01/06/2023,30/06/2023
China,Yuan,CNY,8.7064,01/06/2023,30/06/2023
Colombia,Peso,COP,5509.1653,01/06/2023,30/06/2023
Comoros,Franc,KMF,565.2441,01/06/2023,30/06/2023
Congo (Brazaville),CFA Franc,XAF,753.6588,01/06/2023,30/06/2023
Congo (DemRep),Congo Fr,CDF,2887.6588,01/06/2023,30/06/2023
Costa Rica,Colon,CRC,668.0042,01/06/2023,30/06/2023
Cote d'Ivoire,CFA Franc,XOF,753.6588,01/06/2023,30/06/2023
Cuba,Peso,CUP,29.70528,01/06/2023,30/06/2023
Czech Republic,Koruna,CZK,27.203,01/06/2023,30/06/2023
Denmark,Krone,DKK,8.5584,01/06/2023,30/06/2023
Djibouti,Franc,DJF,219.8813,01/06/2023,30/06/2023
Dominica,E Caribbean Dollar,XCD,3.3387,01/06/2023,30/06/2023
Dominican Republic,Peso,DOP,67.4168,01/06/2023,30/06/2023
Dubai,Dirham,AED,4.5409,01/06/2023,30/06/2023
Ecuador,Dollar,ECS,1.2366,01/06/2023,30/06/2023
Egypt,Pound,EGP,38.2197,01/06/2023,30/06/2023
El Salvador,Colon,SVC,10.8063,01/06/2023,30/06/2023
Equatorial Guinea,CFA Franc,XAF,753.6588,01/06/2023,30/06/2023
Eritrea,Nakfa,ERN,18.5483,01/06/2023,30/06/2023
Ethiopia,Birr,ETB,67.4862,01/06/2023,30/06/2023
Eurozone,Euro,EUR,1.1489,01/06/2023,30/06/2023
Fiji Islands,Dollar,FJD,2.7752,01/06/2023,30/06/2023
Fr. Polynesia,CFP Franc,XPF,137.1057,01/06/2023,30/06/2023
Gabon,CFA Franc,XAF,753.6588,01/06/2023,30/06/2023
