Country/Territories,Currency,CurrencyCode,Currency units per £1,Start Date,End date
Abu Dhabi,Dirham,AED,4.4064,01/08/2022,31/08/2022
Albania,Lek,ALL,137.4253,01/08/2022,31/08/2022
Algeria,Dinar,DZD,174.8481,01/08/2022,31/08/2022
Angola,Readj Kwanza,AOA,516.2522,01/08/2022,31/08/2022
Antigua,E Caribbean Dollar,XCD,3.239,01/08/2022,31/08/2022
Argentina,Peso,ARS,155.2281,01/08/2022,31/08/2022
Armenia,Dram,AMD,498.5724,01/08/2022,31/08/2022
Aruba,Florin,AWG,2.1474,01/08/2022,31/08/2022
Australia,Dollar,AUD,1.7375,01/08/2022,31/08/2022
Azerbaijan,New Manat,AZN,2.0373,01/08/2022,31/08/2022
Bahamas,Dollar,BSD,1.1996,01/08/2022,31/08/2022
Bahrain,Dinar,BHD,0.4523,01/08/2022,31/08/2022
Bangladesh,Taka,BDT,112.7366,01/08/2022,31/08/2022
Barbados,Dollar,BBD,2.3993,01/08/2022,31/08/2022
Belarus,Rouble,BYN,4.0548,01/08/2022,31/08/2022
Belize,Dollar,BZD,2.3993,01/08/2022,31/08/2022
Benin,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Bermuda,Dollar (US),BMD,1.1996,01/08/2022,31/08/2022
Bhutan,Ngultrum,BTN,95.9566,01/08/2022,31/08/2022
Bolivia,Boliviano,BOB,8.2895,01/08/2022,31/08/2022
Bosnia- Herzegovinia,Marka,BAM,2.2975,01/08/2022,31/08/2022
Botswana,Pula,BWP,15.2724,01/08/2022,31/08/2022
Brazil,Real,BRL,6.5213,01/08/2022,31/08/2022
Brunei,Dollar,BND,1.6691,01/08/2022,31/08/2022
Bulgaria,Lev,BGN,2.2975,01/08/2022,31/08/2022
Burkina Faso,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
Burundi,Franc,BIF,2438.2786,01/08/2022,31/08/2022
Cambodia,Riel,KHR,4897.8097,01/08/2022,31/08/2022
Cameroon Republic,CFA Franc,XAF,770.5415,01/08/2022,31/08/2022
Canada,Dollar,CAD,1.544,01/08/2022,31/08/2022
Cape Verde Islands,Escudo,CVE,129.5797,01/08/2022,31/08/2022
Cayman Islands,Dollar,KYD,0.9837,01/08/2022,31/08/2022
Central African Republic,CFA Franc,XAF,770.5415,01/08/2022,31/08/2022
Chad,CFA Franc,XAF,770.5415,01/08/2022,31/08/2022
Chile,Peso,CLP,1103.8533,01/08/2022,31/08/2022
China,Yuan,CNY,8.1015,01/08/2022,31/08/2022
Colombia,Peso,COP,5184.6863,01/08/2022,31/08/2022
Comoros,Franc,KMF,577.9061,01/08/2022,31/08/2022
Congo (Brazaville),CFA Franc,XAF,770.5415,01/08/2022,31/08/2022
Congo (DemRep),Congo Fr,CDF,2390.5327,01/08/2022,31/08/2022
Costa Rica,Colon,CRC,810.3782,01/08/2022,31/08/2022
Cote d'Ivoire,CFA Franc,XOF,770.5415,01/08/2022,31/08/2022
