Country/Territories,Currency,Currency Code,Currency units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,4.1621,01/10/2022,31/10/2022
Albania,Lek,ALL,133.8697,01/10/2022,31/10/2022
Algeria,Dinar,DZD,159.598,01/10/2022,31/10/2022
Angola,Readj Kwanza,AOA,484.4193,01/10/2022,31/10/2022
Antigua,E Caribbean Dollar,XCD,3.0595,01/10/2022,31/10/2022
Argentina,Peso,ARS,164.1983,01/10/2022,31/10/2022
Armenia,Dram,AMD,471.3978,01/10/2022,31/10/2022
Aruba,Florin,AWG,2.0283,01/10/2022,31/10/2022
Australia,Dollar,AUD,1.7015,01/10/2022,31/10/2022
Azerbaijan,New Manat,AZN,1.9263,01/10/2022,31/10/2022
Bahamas,Dollar,BSD,1.1331,01/10/2022,31/10/2022
Bahrain,Dinar,BHD,0.4272,01/10/2022,31/10/2022
Bangladesh,Taka,BDT,117.3371,01/10/2022,31/10/2022
Barbados,Dollar,BBD,2.2663,01/10/2022,31/10/2022
Belarus,Rouble,BYN,2.8555,01/10/2022,31/10/2022
Belize,Dollar,BZD,2.2663,01/10/2022,31/10/2022
Benin,CFA Franc,XOF,752.4362,01/10/2022,31/10/2022
Bermuda,Dollar (US),BMD,1.1331,01/10/2022,31/10/2022
Bhutan,Ngultrum,BTN,90.6317,01/10/2022,31/10/2022
Bolivia,Boliviano,BOB,7.83,01/10/2022,31/10/2022
Bosnia- Herzegovinia,Marka,BAM,2.2435,01/10/2022,31/10/2022
Botswana,Pula,BWP,14.9294,01/10/2022,31/10/2022
Brazil,Real,BRL,5.8721,01/10/2022,31/10/2022
Brunei,Dollar,BND,1.6044,01/10/2022,31/10/2022
Bulgaria,Lev,BGN,2.2436,01/10/2022,31/10/2022
Burkina Faso,CFA Franc,XOF,752.4362,01/10/2022,31/10/2022
Burundi,Franc,BIF,2324.0794,01/10/2022,31/10/2022
Cambodia,Riel,KHR,4602.8329,01/10/2022,31/10/2022
Cameroon Republic,CFA Franc,XAF,752.4362,01/10/2022,31/10/2022
Canada,Dollar,CAD,1.5178,01/10/2022,31/10/2022
Cape Verde Islands,Escudo,CVE,120.4533,01/10/2022,31/10/2022
Cayman Islands,Dollar,KYD,0.9292,01/10/2022,31/10/2022
Central African Republic,CFA Franc,XAF,752.4362,01/10/2022,31/10/2022
Chad,CFA Franc,XAF,752.4362,01/10/2022,31/10/2022
