Country/Territories,Currency,Currency Code,Currency Units per £1,Start Date,End Date
Abu Dhabi,Dirham,AED,5.0745,01/11/2021,30/11/2021
Albania,Lek,ALL,144.34,01/11/2021,30/11/2021
Algeria,Dinar,DZD,188.94,01/11/2021,30/11/2021
Angola,Readj Kwanza,AOA,833.27,01/11/2021,30/11/2021
Antigua,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
Argentina,Peso,ARS,137.23,01/11/2021,30/11/2021
Armenia,Dram,AMD,658.35,01/11/2021,30/11/2021
Aruba,Florin,AWG,2.4729,01/11/2021,30/11/2021
Australia,Dollar,AUD,1.8394,01/11/2021,30/11/2021
Azerbaijan,New Manat,AZN,2.3472,01/11/2021,30/11/2021
Bahamas,Dollar,BSD,1.3815,01/11/2021,30/11/2021
Bahrain,Dinar,BHD,0.5208,01/11/2021,30/11/2021
Bangladesh,Taka,BDT,118.25,01/11/2021,30/11/2021
Barbados,Dollar,BBD,2.763,01/11/2021,30/11/2021
Belarus,Rouble,BYN,3.3681,01/11/2021,30/11/2021
Belize,Dollar,BZD,2.763,01/11/2021,30/11/2021
Benin,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Bermuda,Dollar (US),BMD,1.3815,01/11/2021,30/11/2021
Bhutan,Ngultrum,BTN,103.44,01/11/2021,30/11/2021
Bolivia,Boliviano,BOB,9.5462,01/11/2021,30/11/2021
Bosnia- Herzegovinia,Marka,BAM,2.3198,01/11/2021,30/11/2021
Botswana,Pula,BWP,15.35,01/11/2021,30/11/2021
Brazil,Real,BRL,7.6693,01/11/2021,30/11/2021
Brunei,Dollar,BND,1.8557,01/11/2021,30/11/2021
Bulgaria,Lev,BGN,2.3198,01/11/2021,30/11/2021
Burkina Faso,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Burundi,Franc,BIF,2747.73,01/11/2021,30/11/2021
Cambodia,Riel,KHR,5636.52,01/11/2021,30/11/2021
Cameroon Republic,CFA Franc,XAF,778.02,01/11/2021,30/11/2021
Canada,Dollar,CAD,1.7019,01/11/2021,30/11/2021
Cape Verde Islands,Escudo,CVE,131.44,01/11/2021,30/11/2021
Cayman Islands,Dollar,KYD,1.1328,01/11/2021,30/11/2021
Central African Republic,CFA Franc,XAF,778.02,01/11/2021,30/11/2021
Chad,CFA Franc,XAF,778.02,01/11/2021,30/11/2021
Chile,Peso,CLP,1118.67,01/11/2021,30/11/2021
China,Yuan,CNY,8.8319,01/11/2021,30/11/2021
Colombia,Peso,COP,5214.68,01/11/2021,30/11/2021
Comoros,Franc,KMF,583.51,01/11/2021,30/11/2021
Congo (Brazaville),CFA Franc,XAF,778.02,01/11/2021,30/11/2021
Congo (DemRep),Congo Fr,CDF,2733.5,01/11/2021,30/11/2021
Costa Rica,Colon,CRC,869.45,01/11/2021,30/11/2021
Cote d'Ivoire,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Croatia,Kuna,HRK,8.9069,01/11/2021,30/11/2021
Cuba,Peso,CUP,1.3815,01/11/2021,30/11/2021
Czech Republic,Koruna,CZK,30.3065,01/11/2021,30/11/2021
Denmark,Krone,DKK,8.8252,01/11/2021,30/11/2021
Djibouti,Franc,DJF,245.52,01/11/2021,30/11/2021
Dominica,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
Dominican Republic,Peso,DOP,77.88,01/11/2021,30/11/2021
Dubai,Dirham,AED,5.0745,01/11/2021,30/11/2021
Ecuador,Dollar,ECS,1.3815,01/11/2021,30/11/2021
Egypt,Pound,EGP,21.69,01/11/2021,30/11/2021
El Salvador,Colon,SVC,12.08,01/11/2021,30/11/2021
Equatorial Guinea,CFA Franc,XAF,778.02,01/11/2021,30/11/2021
Eritrea,Nakfa,ERN,20.72,01/11/2021,30/11/2021
Ethiopia,Birr,ETB,65.26,01/11/2021,30/11/2021
Eurozone,Euro,EUR,1.1861,01/11/2021,30/11/2021
Fiji Islands,Dollar,FJD,2.8646,01/11/2021,30/11/2021
Fr. Polynesia,CFP Franc,XPF,141.53,01/11/2021,30/11/2021
Gabon,CFA Franc,XAF,778.02,01/11/2021,30/11/2021
Gambia,Dalasi,GMD,71.83,01/11/2021,30/11/2021
Georgia,Lari,GEL,4.3379,01/11/2021,30/11/2021
Ghana,Cedi,GHS,8.3477,01/11/2021,30/11/2021
Grenada,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
Guatemala,Quetzal,GTQ,10.67,01/11/2021,30/11/2021
Guinea Bissau,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Guinea Republic,Franc,GNF,13371.55,01/11/2021,30/11/2021
Guyana,Dollar,GYD,289.16,01/11/2021,30/11/2021
Haiti,Gourde,HTG,135.9,01/11/2021,30/11/2021
Honduras,Lempira,HNL,33.29,01/11/2021,30/11/2021
Hong Kong,Dollar,HKD,10.74,01/11/2021,30/11/2021
Hungary,Forint,HUF,429.55,01/11/2021,30/11/2021
Iceland,Krona,ISK,177.91,01/11/2021,30/11/2021
India,Rupee,INR,103.44,01/11/2021,30/11/2021
Indonesia,Rupiah,IDR,19448.1,01/11/2021,30/11/2021
Iraq,Dinar,IQD,2016.99,01/11/2021,30/11/2021
Israel,Shekel,ILS,4.4389,01/11/2021,30/11/2021
Jamaica,Dollar,JMD,208.92,01/11/2021,30/11/2021
Japan,Yen,JPY,157.92,01/11/2021,30/11/2021
Jordan,Dinar,JOD,0.9795,01/11/2021,30/11/2021
Kazakhstan,Tenge,KZT,589.27,01/11/2021,30/11/2021
Kenya,Schilling,KES,153.41,01/11/2021,30/11/2021
Kuwait,Dinar,KWD,0.4165,01/11/2021,30/11/2021
Kyrgyz Republic,Som,KGS,117.14,01/11/2021,30/11/2021
Lao People's Dem Rep,Kip,LAK,14011.19,01/11/2021,30/11/2021
Lebanon,Pound,LBP,2093.16,01/11/2021,30/11/2021
Lesotho,Loti,LSL,19.96,01/11/2021,30/11/2021
Liberia,Dollar (US),LRD,1.3815,01/11/2021,30/11/2021
Libya,Dinar,LYD,6.272,01/11/2021,30/11/2021
Macao,Pataca,MOP,11.06,01/11/2021,30/11/2021
Macedonia,Denar,MKD,73.04,01/11/2021,30/11/2021
Madagascar,Malagasy Ariary,MGA,5477.65,01/11/2021,30/11/2021
Malawi,Kwacha,MWK,1128.01,01/11/2021,30/11/2021
Malaysia,Ringgit,MYR,5.7491,01/11/2021,30/11/2021
Maldive Islands,Rufiyaa,MVR,21.35,01/11/2021,30/11/2021
Mali Republic,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Mauritania,Ouguiya,MRU,59.31,01/11/2021,30/11/2021
Mauritius,Rupee,MUR,58.85,01/11/2021,30/11/2021
Mexico,Mexican Peso,MXN,27.88,01/11/2021,30/11/2021
Moldova,Leu,MDL,24.06,01/11/2021,30/11/2021
Mongolia,Tugrik,MNT,3942.8,01/11/2021,30/11/2021
Montserrat,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
Morocco,Dirham,MAD,12.51,01/11/2021,30/11/2021
Mozambique,Metical,MZN,88.18,01/11/2021,30/11/2021
Myanmar,Kyat,MMK,2597.07,01/11/2021,30/11/2021
Nepal,Rupee,NPR,165.5,01/11/2021,30/11/2021
New Caledonia,CFP Franc,XPF,141.53,01/11/2021,30/11/2021
New Zealand,Dollar,NZD,1.9189,01/11/2021,30/11/2021
Nicaragua,Gold Cordoba,NIO,48.69,01/11/2021,30/11/2021
Niger Republic,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Nigeria,Naira,NGN,571.59,01/11/2021,30/11/2021
Norway,Norwegian Krone,NOK,11.54,01/11/2021,30/11/2021
Oman,Rial,OMR,0.5319,01/11/2021,30/11/2021
Pakistan,Rupee,PKR,239.34,01/11/2021,30/11/2021
Panama,Balboa,PAB,1.3815,01/11/2021,30/11/2021
Papua New Guinea,Kina,PGK,4.8418,01/11/2021,30/11/2021
Paraguay,Guarani,PYG,9560.46,01/11/2021,30/11/2021
Peru,New Sol,PEN,5.4445,01/11/2021,30/11/2021
Philippines,Peso,PHP,70.1665,01/11/2021,30/11/2021
Poland,Zloty,PLN,5.4405,01/11/2021,30/11/2021
Qatar,Riyal,QAR,5.0315,01/11/2021,30/11/2021
Romania,New Leu,RON,5.8665,01/11/2021,30/11/2021
Russia,Rouble,RUB,97.93,01/11/2021,30/11/2021
Rwanda,Franc,RWF,1394.49,01/11/2021,30/11/2021
Saotome & Principe,Dobra,STD,29247.7,01/11/2021,30/11/2021
Saudi Arabia,Riyal,SAR,5.1819,01/11/2021,30/11/2021
Senegal,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Serbia,Dinar,RSD,139.43,01/11/2021,30/11/2021
Seychelles,Rupee,SCR,20.26,01/11/2021,30/11/2021
Sierra Leone,Leone,SLL,14660.49,01/11/2021,30/11/2021
Singapore,Dollar,SGD,1.8557,01/11/2021,30/11/2021
Soloman Islands,Dollar,SBD,11.12,01/11/2021,30/11/2021
Somali Republic,Schilling,SOS,809.56,01/11/2021,30/11/2021
South Africa,Rand,ZAR,19.96,01/11/2021,30/11/2021
South Korea,Won,KRW,1622.22,01/11/2021,30/11/2021
Sri Lanka,Rupee,LKR,276.98,01/11/2021,30/11/2021
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
St Lucia,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
St Vincent,E Caribbean Dollar,XCD,3.7301,01/11/2021,30/11/2021
Sudan Republic,Pound,SDG,607.17,01/11/2021,30/11/2021
Surinam,Dollar,SRD,29.55,01/11/2021,30/11/2021
Swaziland,Lilangeni,SZL,19.96,01/11/2021,30/11/2021
Sweden,Krona,SEK,11.86,01/11/2021,30/11/2021
Switzerland,Franc,CHF,1.2706,01/11/2021,30/11/2021
Taiwan,Dollar,TWD,38.55,01/11/2021,30/11/2021
Tanzania,Schilling,TZS,3187.12,01/11/2021,30/11/2021
Thailand,Baht,THB,46.0662,01/11/2021,30/11/2021
Togo Republic,CFA Franc,XOF,778.02,01/11/2021,30/11/2021
Tonga Islands,Pa'anga (AUS),TOP,1.8394,01/11/2021,30/11/2021
Trinidad/Tobago,Dollar,TTD,9.3441,01/11/2021,30/11/2021
Tunisia,Dinar,TND,3.8887,01/11/2021,30/11/2021
Turkey,Turkish  Lira,TRY,12.77,01/11/2021,30/11/2021
Turkmenistan,New Manat,TMT,4.8422,01/11/2021,30/11/2021
UAE,Dirham,AED,5.0745,01/11/2021,30/11/2021
Uganda,Schilling,UGX,4980.31,01/11/2021,30/11/2021
Ukraine,Hryvnia,UAH,36.18,01/11/2021,30/11/2021
Uruguay,Peso,UYU,60.53,01/11/2021,30/11/2021
USA,Dollar,USD,1.3815,01/11/2021,30/11/2021
Uzbekistan,Sum,UZS,14757.22,01/11/2021,30/11/2021
Vanuatu,Vatu,VUV,153.9,01/11/2021,30/11/2021
Venezuela,Bolivar Fuerte,VEF,342905.22,01/11/2021,30/11/2021
Vietnam,Dong,VND,31437.54,01/11/2021,30/11/2021
Wallis & Futuna Islands,CFP Franc,XPF,141.53,01/11/2021,30/11/2021
Western Samoa,Tala,WST,3.5197,01/11/2021,30/11/2021
Yemen (Rep of),Rial,YER,345.72,01/11/2021,30/11/2021
Zambia,Kwacha,ZMW,23.56,01/11/2021,30/11/2021
Zimbabwe,Dollar,ZWL,499.96,01/11/2021,30/11/2021
